Year,Gender,Age,Hand,Height,Foot,Armspan,Languages,GetToSchool,TravelTime,ReactionTime,MemoryScore,Activity,Music,BirthMonth,Season,Allergies,Vegetarian,FavFood,Drink,FavSubject,Sleep1,Sleep2,Occupants,Communicate,TextsSent,HangHours,HWHours,SportsHours,VideoGameHours,ComputerHours,TVHours,WorkHours,SchoolPressure,Superpower,Preference
2013,Male,17,Right,173,27,177,1,Bus,30,0.23,46,None,Other,December,Winter,Yes,No,Pizza/Pasta,Tea,Mathematics and statistics,10,12,4,,2,14,3,0,28,14,0,0,Very little,Freeze time,Happy
2016,Female,18,Right,167,25,160,1,Car,10,0.398,50,Other,Pop,September,Summer,No,No,Rice/Noodle dishes,Tea,Art,7,12,4,Text,13,35,0.2,6,5,60,5,15,Some,Freeze time,Happy
2013,Female,17,Right,166,23,165,1,Car,10,0.427,49,Running/Jogging,Country,September,Summer,No,No,Pizza/Pasta,Water,Mathematics and statistics,7,10,4,Text,50,5,3,5,1,2,2,11,Some,Invisibility,Happy
2015,Male,17,Right,,27,178,1,Car,10,0.343,51,Soccer,Rock and roll,November,Summer,No,Yes,Pizza/Pasta,Water,Science,7,8,6,In person,50,5,25,20,5,6,1,0,A lot,Telepathy,Rich
2013,Female,17,Right,158,23,153,,,,0.351,42,Martial Arts,Rock and roll,March,Fall,Yes,No,No favorite,Milk,Mathematics and statistics,6,10,5,In person,,,2,5,0,,0,3,Some,Fly,Happy
2011,Male,17,Left,180,26,185,1,Car,10,0.312,32,Tennis,Other,June,Fall,Yes,No,Poultry,Water,Physical education,7,11,5,In person,15,10,20,12,2,10,5,0,Some,Invisibility,Happy
2018,Female,17,Right,157,23.5,157,2,Car,13,0.394,54,Gymnastics,Rap/Hip hop,December,Fall,Yes,No,Salads,Water,Mathematics and statistics,6,10,4,Text,100,36,2,10,0,50,12,15,Very little,Telepathy,Happy
2013,Female,17,Right,155,24,155,1,Car,8,0.372,38,Golf,Pop,May,Fall,Yes,No,Pizza/Pasta,Water,Social studies,8,9,2,In person,75,40,4,6,1,40,20,8.5,A lot,Telepathy,Happy
2018,Male,18,Right,184,26,184,1,Walk,13,0.36,83,Other,Rock and roll,June,Summer,No,No,Meat,Powdered drink,Science,7,6,4,Phone,600,30,7,25,2,6,5,20,A lot,Fly,Rich
2018,Female,17,Right,168,25,168,1,Car,10,0.339,31,Basketball,Rap/Hip hop,January,Winter,No,No,Desserts,Water,Mathematics and statistics,6,8,4,Text,20,2,3,5,2,1,0,0,Some,Freeze time,Healthy
2014,Female,17,Right,163,26,165,1,Walk,22,0.313,44,Walking/Hiking,Punk rock,August,Fall,No,No,Pizza/Pasta,Coffee,English,5,8,4,In person,4,4,20,0,0,10,5,12,Some,Freeze time,Happy
2010,Female,17,Right,173,24.6,168,1,Car,7,0.484,30,Soccer,Rap/Hip hop,December,Summer,Yes,No,Desserts,Water,Mathematics and statistics,7,10,5,Text,30,12,20,12,0,20,15,0,A lot,Freeze time,Healthy
2018,Male,18,Right,196,30,191,1,Car,15,0.77,56,Football (American),Country,April,Summer,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,7,8,4,Text,10,3,3,5,1,3,1,0,Some,Freeze time,Happy
2015,Male,16,Right,183,25,170,1,Car,7,0.257,41,Soccer,Punk rock,September,Fall,No,No,Meat,Water,Computers and technology,6,8,6,App,8,10,2,8,75,90,10,0,Some,Telepathy,Happy
2011,Male,18,Right,188,26,181,3,Car,5,0.594,57,Baseball/Softball,Rap/Hip hop,August,Spring,Yes,No,Other,Sports drink,Music,8,10,4,Text,69,12,0,10,1,10,20,2,Very little,Invisibility,Happy
2019,Female,18,Right,162,21,119,1,Car,10,0.363,55,Cycling,Country,February,Fall,Yes,No,Desserts,Coffee,English,6,8,5,Phone,20,5,5,48,0,10,6,15,A lot,Telepathy,Happy
2017,Male,16,Right,173,25,167,2,Bus,15,0.439,35,Athletics,Rap/Hip hop,February,Winter,No,No,No favorite,Water,History,4,10,4,In person,5,40,30,16,14,20,0,0,Some,Telepathy,Rich
2016,Male,17,Right,191.8,26.3,196.2,1,Car,16,0.387,38,Basketball,Pop,January,Spring,No,No,Desserts,Water,Art,7,12,6,Text,100,2,15,4,0,5,8,0,Some,Freeze time,Happy
2018,Male,17,Right,190,30,192.5,1,Car,14,0.306,52,Other,Rock and roll,January,Winter,No,No,Meat,Water,Science,7.5,7.5,4,Text,7,9,2,10,10,20,0,3,Very little,Freeze time,Rich
2013,Male,17,Right,,,173,4,Car,12,0.329,35,Swimming,Pop,February,Summer,No,Yes,Fruit,Water,Languages,7,9,3,App,20,0,4,4,0,60,5,15,Some,Freeze time,Rich
2019,Female,18,Left,162,21,119,1,Car,5,0.545,49,Swimming,Other,September,Spring,Yes,No,Pizza/Pasta,Water,Languages,7.5,8.5,5,Text,100,20,1,0,0,1,3,12,Very little,Freeze time,Happy
2019,Female,17,Right,158,25.2,163.8,2,Bus,10,0.412,46,Soccer,Pop,December,Spring,No,No,Pizza/Pasta,Water,History,6,9,5,Text,20,4,18,3,10,20,0,20,A lot,Freeze time,Happy
2012,Female,16,Right,156,21,157,2,Bus,15,0.297,33,Martial Arts,Rap/Hip hop,April,Spring,No,No,Fruit,Juice,Computers and technology,6.5,9,6,App,0,2,15,0,0.5,15,1,0,A lot,Freeze time,Healthy
2012,Female,17,Right,164,23,164,1,Car,7,0.343,32,Walking/Hiking,Other,February,Fall,No,No,Rice/Noodle dishes,Coffee,English,6,9,3,Text,10,3,10,1,0,12,3,25,A lot,Telepathy,Happy
2019,Female,18,Right,160,24,160,1,Car,10,0.399,47,Baseball/Softball,Rap/Hip hop,January,Summer,No,No,Pizza/Pasta,Water,History,7,9,4,Text,45,14,3,14,2,20,5,0,Very little,Fly,Happy
2013,Female,17,Right,167,24.5,178,2,Car,40,0.437,46,Other,Other,February,Winter,No,No,Pizza/Pasta,Water,History,4,10,3,Text,20,3,20,1,0,25,10,0,A lot,Invisibility,Rich
2018,Female,17,Right,162.5,24,,1,Car,8,0.393,50,Baseball/Softball,Rap/Hip hop,June,Summer,No,No,Salads,Water,Mathematics and statistics,6.5,8,5,Text,30,12,6,13,0,10,8,0,Some,Telepathy,Healthy
2018,Male,17,Right,160,22,152,1,Bus,25,0.332,36,Soccer,Techno/Electronic,November,Spring,Yes,No,Breads/Sandwiches,Water,History,6,11,4,Text,4,12,6,3,6,72,0,0,A lot,Fly,Happy
2016,Male,17,Both,190.5,28,193,1,Walk,1,0.382,44,Basketball,Classical,July,Fall,No,No,Meat,Tea,History,6.5,7,4,In person,60,3.5,1.5,0.5,2,1,0,0,A lot,Freeze time,Happy
2014,Female,18,Right,157.4,30,,1,Car,20,,26,None,Rock and roll,May,Summer,Yes,No,Seafood,Water,Mathematics and statistics,7,8,2,Phone,1,2,4,0,0,4,4,12,Some,Telepathy,Happy
2017,Female,17,Right,162,21,154,1,Car,10,0.36,44,Hockey (Field),Pop,November,Fall,No,,Breads/Sandwiches,Tea,Physical education,7,10,3,In person,55,20,5,20,1,10,20,15,Some,Freeze time,Happy
2019,Female,17,Left,167,27.5,175,1,Car,15,0.426,44,Athletics,Rap/Hip hop,August,Summer,No,No,Desserts,Water,Languages,6,9,4,Text,23,8,7,12,2,15,0,0,A lot,Freeze time,Happy
2018,Female,17,Right,170,23,170,2,Car,15,0.464,50,None,Pop,December,Fall,Yes,No,Pizza/Pasta,Water,Social studies,4,5,4,In person,500,20,1,0,0,50,20,50,Some,Freeze time,Rich
2013,Male,17,Right,175.3,27,200,1,Bus,30,0.359,45,Other,Rap/Hip hop,September,Summer,Yes,No,No favorite,Water,Physical education,6,0,5,In person,0,4,0,20,12,12,16,0,Some,Freeze time,Healthy
2018,Female,17,Right,172,26,181,2,Car,11,0.55,50,Swimming,Other,January,Summer,No,No,Meat,Water,Music,5.5,8,4,Text,30,2,14,2,0,6,2,7,A lot,Telepathy,Happy
2015,Male,17,Right,177,26,180,1,Car,10,0.441,58,Baseball/Softball,Country,October,Spring,Yes,No,Meat,Milk,History,9,8,4,Text,25,6,3,16,1,1,10,0,Some,Freeze time,Rich
2015,Female,17,Right,162.5,25,172,1,Bus,40,0.523,65,Basketball,Rap/Hip hop,,Spring,Yes,Yes,No favorite,Water,Mathematics and statistics,5,10,6,Text,50,10,0,0,0,20,60,0,Very little,Invisibility,Rich
2016,Male,17,Both,161.5,24.13,161.5,1,Car,5,0.305,48,Other,Rock and roll,December,Fall,No,No,Meat,Water,Science,7.5,8,6,In person,2,5,2,17.5,0,0,2,0,Some,Super strength,Happy
2019,Female,18,Right,160,,,1,Car,6,,,Tennis,Pop,October,Spring,Yes,No,Meat,Water,Computers and technology,7,10,4,Text,50,10,3,6,8,8,8,8,Very little,Invisibility,Happy
2014,Male,15,Right,180,24,179,3,Car,11,0.319,42,Martial Arts,Classical,March,Spring,No,Yes,Breads/Sandwiches,Water,Science,6,9,3,App,0,4,35,2,5,40,0,4,Some,Invisibility,Happy
2013,Male,17,Right,180.3,28,189,1,Bus,25,0.358,44,Football (American),Rap/Hip hop,December,Summer,Yes,No,Poultry,Soft drink (caffeinated),Physical education,5,10,5,Text,5,1,1,3,40,40,20,0,Some,Telepathy,Happy
2017,Male,17,Right,176,28,172,2,Car,8,0.336,41,Basketball,Rap/Hip hop,July,Summer,No,No,Meat,Tea,Physical education,8,10,3,App,5,5,5,5,5,3,0,32,None,Invisibility,Happy
2013,Male,17,Right,203,,180,1,Bus,15,0.37,,None,Other,May,Winter,Yes,No,Seafood,Water,History,7,10,3,App,0,1,1,0,28,28,1,0,Some,Telepathy,Happy
2012,Male,17,Right,176,26,178,3,Bus,45,,,Other,Other,July,Summer,No,No,Rice/Noodle dishes,Soft drink (caffeinated),Mathematics and statistics,6,6,4,Text,100,4,35,14,0,15,10,0,A lot,Freeze time,Happy
2013,Female,17,Right,177.8,23.1,173.9,1,Car,5,0.375,31,Running/Jogging,Rhythm and blues (R&B),October,Fall,No,No,Fruit,Water,Science,6.5,8,6,Text,50,8,15,3,0,5,8,10,Some,Freeze time,Happy
2018,Male,16,Right,178,26.5,178,1,Car,10,0.28,36,Lacrosse,Rhythm and blues (R&B),May,Fall,Yes,No,Rice/Noodle dishes,Water,Music,6,9,4,Text,40,8,12,10,4,2,4,20,A lot,Fly,Happy
2012,Male,16,Right,181,29,188,1,Car,25,0.29,32,Baseball/Softball,Rap/Hip hop,February,Summer,No,No,Meat,Water,Mathematics and statistics,7.5,9,5,Text,100,5,15,20,2,5,10,0,Some,Freeze time,Happy
2016,Male,17,Both,193,28,,1,Walk,15,0.3,29,Other,Other,May,Fall,No,No,Other,Tea,Music,5,5,7,App,0,20,6,5,10,5,2,30,None,Invisibility,Happy
2013,Female,16,Right,165,23.5,160,1,Car,15,0.434,46,Other,Pop,November,Fall,No,No,Poultry,Water,Science,7,11,3,Text,75,8,2,8,0,1,4,10,Some,Telepathy,Healthy
2015,Female,18,Right,178,24,183,1,Bus,15,0.372,53,Walking/Hiking,Other,November,Spring,Yes,No,Soups,Water,English,8,10,7,In person,0,18,27,7.5,0,12,1,0,A lot,Telepathy,Happy
2018,Male,17,Right,175.3,23,174,1,Car,35,0.384,44,Martial Arts,Heavy metal,March,Winter,No,No,Meat,Milk,History,7,6,5, ,10,4,2,12,1,8,0,14,Some,Freeze time,Happy
2015,Male,15,Right,174,25,173,2,Car,16,0.213,32,Walking/Hiking,,July,Fall,No,No,Pizza/Pasta,Water,Geography,4.5,5.75,4,Text,50,8,18,11,0,10,0.5,0,Some,Freeze time,Happy
2012,Male,18,Right,185,29,180,1,Car,8,0.299,47,Football (American),Rap/Hip hop,June,Summer,Yes,No,Pizza/Pasta,Water,History,7,9,3,In person,20,10,1,2,2,1,1,0,Very little,Telepathy,Happy
2017,Female,17,Right,162,23,147,1,Car,4,0.397,43,Hockey (Field),Pop,December,Winter,Yes,No,Meat,Water,Languages,7,8,7,Text,20,17,10,7,1,15,6,0,Some,Telepathy,Happy
2016,Female,15,Right,155,21,145,2,Bus,15,0.289,28,Walking/Hiking,Pop,January,Winter,Yes,No,Desserts,Water,English,4,10,5,App,0,3,35,2,0,8,0,0,A lot,Fly,Healthy
2013,Male,16,Right,179,30,176,1,Bus,12,0.396,57,Football (American),Country,March,Winter,Yes,No,Pizza/Pasta,Milk,Social studies,8,12,4,Phone,300,20,22,40,1,8,9,10,A lot,Freeze time,Rich
2019,Female,17,Right,166.4,22.8,170.1,2,Car,6,0.469,47,Running/Jogging,Pop,February,Summer,Yes,No,Pizza/Pasta,Water,Music,6,8,5,App,100,10,20,14,0,10,4,10,A lot,Freeze time,Happy
2019,Female,17,Right,160,24.1,155,2,Car,10,0.437,81,Tennis,Pop,June,Summer,No,No,Desserts,Milk,Science,7,9,4,Text,50,8,20,10,0,25,2,5,A lot,Telepathy,Happy
2013,Male,18,Right,,28,,2,Car,10,0.297,33,Basketball,Rap/Hip hop,January,Summer,Yes,No,Breads/Sandwiches,Water,Other,7,5,3,Text,30,14,2,8,1,5,7,8,Some,Fly,Happy
2017,Female,17,Right,173,22.7,164,2,Car,7,0.545,26,Soccer,Rock and roll,December,Fall,No,No,Pizza/Pasta,Water,History,6,9,5,Text,100,10,18,12,0,5,4,6,Some,Fly,Happy
2015,Female,18,Right,177.8,25.4,174,1,Car,20,0.814,50,Walking/Hiking,Rock and roll,September,Summer,No,No,Meat,Water,English,6,9,5,Text,300,6,10,1,0,95,5,0,A lot,Invisibility,Happy
2017,Male,17,Both,,27,,1,Car,30,0.67,36,Hockey (Ice),Techno/Electronic,June,Fall,Yes,No,Meat,Water,History,8,10,4,In person,10,10,5,8,14,14,0,0,Some,Telepathy,Happy
2012,Female,17,Right,163,22,164,3,Car,6,,,Martial Arts,Rap/Hip hop,January,Fall,No,No,Fruit,Water,Mathematics and statistics,6,10,3,Text,50,6,10,4,0,14,0,0,Some,,Happy
2015,Female,17,Right,157,23,158,1,Car,2,0.364,41,Tennis,Pop,October,Fall,No,No,Desserts,Water,Mathematics and statistics,10,8,5,Phone,85,5,5,10,0,2,4,10,A lot,Telepathy,Rich
2015,Female,17,Right,161.5,21,162,1,Car,9,0.317,47,,Country,November,Spring,Yes,No,Fruit,Water,Physical education,6,8.5,5,In person,80,6,15,21,2,10,5,20,A lot,Telepathy,Happy
2013,Male,18,Right,171,,,2,Bus,60,0.356,36,Tennis,Classical,July,Fall,Yes,No,Poultry,Water,Mathematics and statistics,7.5,9,7,App,0,3,6,1.5,2,5,1,0,Some,Freeze time,Happy
2011,Male,17,Right,169.4,24.2,174.3,2,Car,12,0.281,29,Other,Rap/Hip hop,July,Fall,Yes,No,Seafood,Water,Social studies,8,8,4,Text,60,5,10,2,7,10,4,8,Some,Fly,Happy
2018,Male,17,Right,174,27,179,1,Car,5,0.391,51,Baseball/Softball,Country,June,Summer,No,No,Meat,Water,Mathematics and statistics,7,10,4,Phone,10,10,12,8,0,3,1,17,Some,Fly,Healthy
2016,Male,17,Left,180,,,1,Car,5,,,Other,Rap/Hip hop,June,Fall,No,No,Pizza/Pasta,Water,Mathematics and statistics,7,11,4,Text,1,5,6,4,9,6,6,5,A lot,Fly,
2017,Male,17,Right,180,26,183,2,Car,15,0.487,35,Lacrosse,Country,March,Fall,Yes,No,Breads/Sandwiches,Water,Mathematics and statistics,7,9,2,App,50,3,15,7,1,10,2,2,A lot,Telepathy,Happy
2013,Female,18,Right,170,26,162,1,Car,22,0.42,44,Walking/Hiking,Other,January,Summer,Yes,No,Pizza/Pasta,Tea,Other,7.5,8,4,Phone,50,8,0.5,0,0,2,3,6,Some,Invisibility,Happy
2019,Female,17,Right,162,22,164,1,Car,3,0.381,67,Other,Country,February,,No,No,Poultry,,Mathematics and statistics,6,9,4,App,100,20,5,10,0,12,10,0,Some,Invisibility,Happy
2013,Male,16,Right,175,26,175,3,Car,2,0.294,41,Hockey (Ice),Country,June,Spring,No,No,Pizza/Pasta,Water,Physical education,7,10,6,Text,16,50,0,15,4,3,40,10,Some,Super strength,Happy
2016,Male,16,Right,165,25,163,1,Car,3,0.244,34,Running/Jogging,Rock and roll,November,Fall,Yes,No,Meat,Water,History,8,10,4,Text,15,4,12,6,0,15,15,0,A lot,Freeze time,Famous
2017,Male,17,Right,178,25,180,1,Car,16,0.6,34,Swimming,Heavy metal,May,Summer,No,No,Pizza/Pasta,Water,Mathematics and statistics,4,5,3,Text,75,4,0,1,2,10,0,0,None,Invisibility,Healthy
2013,Female,18,Left,162.6,19.4,153.7,2,Bus,20,0.448,61,Walking/Hiking,Other,May,Summer,No,No,Breads/Sandwiches,Juice,Science,6,8,5,Text,150,4,48,1,1,15,8,10,A lot,Freeze time,Happy
2016,Female,17,Right,150,21.6,,1,Bus,9,0.49,46,Other,,August,Spring,No,Yes,Other,Soft drink (caffeinated),Social studies,4,9,2,Text,0,0,10,0,0,40,4,0,,,
2010,Male,16,Right,168,28,197,1,Bus,13,0.375,36,Rowing,Pop,March,Summer,No,No,Rice/Noodle dishes,Milk,English,6,9,3,Text,50,42,10,10,9,30,35,0,Very little,Fly,Famous
2018,Female,16,Right,156,21.5,157,3,Bus,15,0.341,33,Running/Jogging,Pop,October,Fall,Yes,No,Poultry,Water,History,6,10,2,Text,30,4,21,3,2,10,2,0,Some,Fly,Healthy
2016,Male,17,Right,174,27,190,1,Car,6,0.226,49,Football (American),Rap/Hip hop,May,Summer,No,No,Meat,Water,Physical education,6,8,5,Phone,50,14,2,9,2,1,7,6,A lot,Telepathy,Famous
2017,Male,17,Right,169,25,180,1,Car,30,0.376,43,Baseball/Softball,Rock and roll,August,Spring,No,No,Seafood,Juice,Social studies,7,8,4,Text,75,8,10,6,8,8,15,0,Some,Freeze time,Famous
2012,Male,17,Right,185,27,178,1,Car,7,,,Other,Rap/Hip hop,March,Fall,No,No,Meat,Water,Computers and technology,7,10,5,Phone,1,21,2,4,0,28,7,14,Very little,Freeze time,Happy
2014,Male,17,Right,177.8,,,1,Bus,15,0.379,59,Walking/Hiking,Pop,November,Spring,Yes,No,Breads/Sandwiches,Coffee,English,6.5,8,9,Text,80,20,0,5,30,,30,20,Very little,Freeze time,Happy
2014,Female,17,Left,157.4,24.1,159,1,Car,5,0.318,38,Baseball/Softball,Country,May,Summer,Yes,No,No favorite,Water,History,7,9,4,Phone,300,15,2,50,0,60,35,0,Some,Telepathy,Healthy
2017,Male,17,Right,178,24,178,3,Bus,10,0.35,34,Soccer,,August,Summer,Yes,No,No favorite,Water,Mathematics and statistics,6,8.5,4,App,1,,14,6,5,80,0,0,,,
2015,Male,17,Right,173,27,173,2,Car,8,0.288,51,Soccer,Other,December,Summer,Yes,No,Meat,Juice,Science,6.5,9,5,Text,50,6,20,10,0,5,0,0,Some,Fly,Happy
2018,Male,18,Left,162.5,20.32,166,1,Bus,30,0.505,43,Martial Arts,Rock and roll,May,Spring,Yes,No,Seafood,Water,Art,7,9,3,Text,0,0,0,0,0,8,2,0,Very little,Super strength,Happy
2017,Male,17,Left,170,29,150,1,Walk,15,0.471,47,Athletics,Rap/Hip hop,March,Winter,No,No,Meat,Water,Mathematics and statistics,7,9,20,Text,50,17,1.5,2,19,18,1,0,None,Telepathy,Happy
2014,Male,18,Right,177.8,27,186.7,1,Car,4,0.275,44,Basketball,Rap/Hip hop,September,Winter,No,No,Meat,Water,Science,7,9,2,Text,20,5,10,14,1,10,5,8,A lot,Super strength,Rich
2016,Male,17,Right,171,28,163,2,Car,4,,,Soccer,Rock and roll,October,Summer,Yes,No,Pizza/Pasta,Water,History,6,3,3,Text,32,7,12,0,7,57,31,15,A lot,Freeze time,Famous
2017,Male,17,Right,185,28,195,1,Car,8,0.308,55,Soccer,Punk rock,November,Fall,No,No,Pizza/Pasta,Milk,Science,5,8,2,Text,75,8,2,15,4,10,10,15,A lot,Freeze time,Happy
2010,Female,17,Right,163,23,158,1,Car,7,0.25,43,Cycling,Other,January,Winter,No,No,Rice/Noodle dishes,Water,History,6,9,4,In person,20,10,17,2,0,42,3,0,A lot,Invisibility,Happy
2018,Male,17,Left,180,26,179,1,Car,5,0.38,57,Athletics,Rap/Hip hop,June,Fall,No,No,Poultry,Water,Science,5,8,4,Text,17,4,3,4,12,24,12,16,None,Telepathy,Happy
2019,Male,18,Right,170,23,,1,Car,13,0.484,48,Running/Jogging,Pop,October,Summer,Yes,No,Pizza/Pasta,Water,History,7,8.5,4,Text,35,5,6,15,1,17,0.5,15,Some,Fly,Happy
2016,Female,17,Right,168.9,23,166.4,2,Car,7,0.435,55,Athletics,Pop,December,Summer,Yes,No,Seafood,Water,English,7.5,9,4,In person,1,1,20,3,0,15,0,0,Some,Fly,Happy
2017,Male,17,Both,177.8,29,186,2,Walk,15,0.366,49,Basketball,Rap/Hip hop,February,Fall,No,No,Pizza/Pasta,Sports drink,Art,7,9,3,Text,200,1,5,2,1,2,0,0,Some,Telepathy,Happy
2019,Female,17,Right,155,20,163,1,Bus,16,0.35,43,None,Rap/Hip hop,July,Fall,Yes,No,Rice/Noodle dishes,Water,Art,6,15,5,App,70,5,3,0,0,24,3,9,A lot,,Happy
2017,Female,17,Right,166,21,162,1,Car,5,0.468,37,Swimming,Pop,September,Summer,No,No,Poultry,Milk,Computers and technology,7,8,5,App,40,10,10,12,0,5,10,5,A lot,Freeze time,Happy
2018,Female,17,Right,157,23,156,1,Car,10,0.52,47,Basketball,Pop,March,Fall,No,No,Pizza/Pasta,Water,Science,7,11,5,Text,300,20,20,15,0,40,10,25,A lot,Invisibility,Happy
2018,Female,17,Right,167,23,165,1,Car,11,0.34,61,Basketball,Rap/Hip hop,February,Summer,No,No,Pizza/Pasta,Tea,Mathematics and statistics,5,7,2,Phone,260,14,0,24,5,60,60,40,A lot,Telepathy,Happy
2018,Male,18,Both,177.8,26.5,173.5,1,Car,9,0.348,41,Other,Rap/Hip hop,October,Fall,No,No,Pizza/Pasta,Water,Physical education,8,9.5,5,App,3,22,2,13,2.5,5,10,0,Very little,Fly,Happy
2014,Female,17,Right,,21,,1,Car,10,0.348,,Gymnastics,Rhythm and blues (R&B),May,Summer,No,No,Pizza/Pasta,Juice,English,5,8,5,Text,15,,20,10,0,5,8,21,Some,Telepathy,Happy
2013,Female,18,Right,153.7,21.7,152.4,3,Bus,5,0.265,28,Hockey (Field),Pop,October,Fall,No,No,Rice/Noodle dishes,Water,Languages,6,8,5,App,20,9.5,23,13,3,18,5,0,A lot,Freeze time,Happy
2014,Male,18,Right,180,25.7,187,1,Bus,20,0.41,81,Walking/Hiking,Other,August,Fall,Yes,No,Meat,Water,Science,6,8,3,In person,1,5,5,0,1,4,2,0,Some,Freeze time,Happy
