Player,Pos,Age,Team,Games,Starts,Mins,MinPerGame,FGMade,FGAttempt,FGPct,FG3Made,FG3Attempt,FG3Pct,FTMade,FTAttempt,FTPct,OffRebound,DefRebound,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
Bojan Bogdanovic,SF,29,IND,81,81,2573,31.8,522,1051,0.497,164,386,0.425,246,305,0.807,33,300,333,161,69,1,134,138,1454
Devin Booker,SG,22,PHO,64,64,2242,35,586,1255,0.467,135,414,0.326,393,454,0.866,39,226,265,433,56,13,264,200,1700
Avery Bradley,SG,28,TOT,63,63,1905,30.2,248,608,0.408,86,245,0.351,43,50,0.86,43,132,175,152,41,16,89,167,625
Mikal Bridges,SF,22,PHO,82,56,2417,29.5,242,563,0.43,105,313,0.335,95,118,0.805,56,208,264,173,129,38,70,201,684
Malcolm Brogdon,SG,26,MIL,64,64,1832,28.6,378,748,0.505,104,244,0.426,141,152,0.928,65,223,288,205,46,13,91,102,1001
Jaylen Brown,SG,22,BOS,74,25,1913,25.9,368,792,0.465,95,276,0.344,133,202,0.658,65,248,313,100,69,32,99,186,964
Reggie Bullock,SG,27,TOT,63,60,1879,29.8,245,594,0.412,148,393,0.377,73,85,0.859,22,151,173,129,40,12,65,109,711
Alec Burks,SG,27,CLE,34,24,979,28.8,136,340,0.4,45,119,0.378,79,98,0.806,26,160,186,98,25,16,46,62,396
Jimmy Butler,SF-SG,29,TOT,65,65,2185,33.6,418,904,0.462,67,193,0.347,312,365,0.855,121,221,342,263,123,39,95,111,1215
Kentavious Caldwell-Pope,SG,25,LAL,82,23,2035,24.8,325,756,0.43,151,435,0.347,137,158,0.867,48,190,238,110,73,13,65,137,938
Isaiah Canaan,PG,27,PHO,19,15,503,26.5,51,129,0.395,25,72,0.347,15,20,0.75,5,44,49,62,12,0,29,46,142
Clint Capela,C,24,HOU,67,67,2249,33.6,474,732,0.648,0,0,,166,261,0.636,298,550,848,96,44,102,94,168,1114
DeMarre Carroll,PF,32,BRK,67,8,1703,25.4,227,575,0.395,106,310,0.342,184,242,0.76,68,281,349,85,31,10,73,114,744
Willie Cauley-Stein,C,25,SAC,81,81,2213,27.3,412,741,0.556,1,2,0.5,140,254,0.551,181,497,678,194,96,51,84,227,965
Wilson Chandler,PF,31,PHI,36,32,951,26.4,91,207,0.44,46,118,0.39,13,18,0.722,44,124,168,72,22,18,39,94,241
Jordan Clarkson,SG,26,CLE,81,0,2214,27.3,529,1180,0.448,144,445,0.324,162,192,0.844,82,188,270,196,57,13,135,112,1364
John Collins,PF,21,ATL,61,59,1829,30,465,831,0.56,55,158,0.348,203,266,0.763,219,376,595,121,22,39,120,199,1188
Darren Collison,PG,31,IND,76,76,2143,28.2,308,659,0.467,79,194,0.407,158,190,0.832,36,196,232,459,110,9,125,138,853
Mike Conley,PG,31,MEM,70,70,2342,33.5,490,1120,0.438,155,426,0.364,343,406,0.845,40,199,239,449,94,22,130,123,1478
DeMarcus Cousins,C,28,GSW,30,30,771,25.7,178,371,0.48,26,95,0.274,106,144,0.736,43,204,247,107,40,44,72,109,488
Robert Covington,SF,28,TOT,35,35,1203,34.4,156,362,0.431,85,225,0.378,68,89,0.764,28,165,193,46,74,47,47,126,465
Allen Crabbe,SG,26,BRK,43,20,1133,26.3,137,373,0.367,98,259,0.378,41,56,0.732,16,132,148,46,23,13,46,102,413
Jae Crowder,SF,28,UTA,80,11,2166,27.1,318,797,0.399,173,522,0.331,142,197,0.721,60,324,384,133,64,31,85,170,951
Stephen Curry,PG,30,GSW,69,69,2331,33.8,632,1340,0.472,354,810,0.437,263,287,0.916,45,324,369,361,92,25,192,166,1881
Anthony Davis,C,25,NOP,56,56,1850,33,530,1026,0.517,48,145,0.331,344,433,0.794,174,498,672,218,88,135,112,132,1452
Dewayne Dedmon,C,29,ATL,64,52,1609,25.1,259,526,0.492,83,217,0.382,92,113,0.814,105,375,480,90,69,71,84,214,693
DeMar DeRozan,SG,29,SAS,77,77,2688,34.9,631,1313,0.481,7,45,0.156,366,441,0.83,54,408,462,475,86,36,199,177,1635
Spencer Dinwiddie,PG,25,BRK,68,4,1914,28.1,366,828,0.442,124,370,0.335,287,356,0.806,26,140,166,311,40,17,152,187,1143
Luka Doncic,SG,19,DAL,72,72,2318,32.2,506,1186,0.427,168,514,0.327,346,485,0.713,86,477,563,429,77,25,247,137,1526
Damyean Dotson,SG,24,NYK,73,40,2004,27.5,290,698,0.415,126,342,0.368,73,98,0.745,34,228,262,135,58,10,71,135,779
Goran Dragic,PG,32,MIA,36,22,991,27.5,179,433,0.413,57,164,0.348,79,101,0.782,20,91,111,174,30,5,71,81,494
Andre Drummond,C,25,DET,79,79,2647,33.5,561,1052,0.533,5,38,0.132,243,412,0.59,423,809,1232,112,136,138,175,272,1370
Kris Dunn,PG,24,CHI,46,44,1389,30.2,215,506,0.425,34,96,0.354,55,69,0.797,19,168,187,277,68,21,104,166,519
Kevin Durant,SF,30,GSW,78,78,2702,34.6,721,1383,0.521,137,388,0.353,448,506,0.885,33,464,497,457,58,84,225,155,2027
Wayne Ellington,SG,31,TOT,53,38,1297,24.5,184,457,0.403,138,372,0.371,39,49,0.796,14,93,107,72,54,6,40,92,545
Joel Embiid,C,24,PHI,64,64,2154,33.7,580,1199,0.484,79,263,0.3,522,649,0.804,160,711,871,234,46,122,226,211,1761
Kenneth Faried,C,29,HOU,25,13,610,24.4,131,223,0.587,7,20,0.35,54,83,0.651,82,124,206,18,15,19,27,74,323
Terrance Ferguson,SG,20,OKC,74,74,1931,26.1,185,431,0.429,106,290,0.366,37,51,0.725,33,108,141,72,40,16,47,231,513
Dorian Finney-Smith,SF,25,DAL,81,26,1985,24.5,228,528,0.432,79,254,0.311,73,103,0.709,138,251,389,95,69,36,74,186,608
Bryn Forbes,SG,25,SAS,82,81,2293,28,361,791,0.456,176,413,0.426,69,78,0.885,18,221,239,175,45,4,80,159,967
Evan Fournier,SG,26,ORL,81,81,2553,31.5,468,1069,0.438,153,450,0.34,137,170,0.806,38,220,258,295,71,12,154,225,1226
De'Aaron Fox,PG,21,SAC,81,81,2546,31.4,505,1102,0.458,86,232,0.371,303,417,0.727,43,261,304,590,133,45,227,204,1399
Danilo Gallinari,SF,30,LAC,68,68,2059,30.3,409,884,0.463,161,372,0.433,367,406,0.904,54,363,417,178,49,23,99,129,1346
Marc Gasol,C,34,TOT,79,72,2436,30.8,390,870,0.448,99,273,0.363,192,253,0.759,80,547,627,349,84,86,155,217,1071
Rudy Gay,PF,32,SAS,69,51,1842,26.7,376,746,0.504,74,184,0.402,120,147,0.816,63,407,470,182,54,34,114,159,946
Paul George,SF,28,OKC,77,77,2841,36.9,707,1614,0.438,292,757,0.386,453,540,0.839,105,523,628,318,170,34,205,214,2159
Taj Gibson,PF,33,MIN,70,57,1686,24.1,304,537,0.566,11,34,0.324,134,177,0.757,172,286,458,84,53,39,73,186,753
Shai Gilgeous-Alexander,PG,20,LAC,82,73,2174,26.5,341,716,0.476,51,139,0.367,156,195,0.8,57,175,232,270,96,45,141,175,889
Rudy Gobert,C,26,UTA,81,80,2577,31.8,476,712,0.669,0,0,,332,522,0.636,309,732,1041,161,66,187,130,231,1284
Aaron Gordon,PF,23,ORL,78,78,2633,33.8,470,1046,0.449,121,347,0.349,185,253,0.731,129,445,574,289,57,56,162,172,1246
Eric Gordon,SG,30,HOU,68,53,2158,31.7,384,938,0.409,216,600,0.36,119,152,0.783,17,131,148,129,41,27,90,143,1103
Jerami Grant,PF,24,OKC,80,77,2612,32.7,409,823,0.497,115,293,0.392,157,221,0.71,96,321,417,79,61,100,67,214,1090
Danny Green,SG,31,TOR,80,80,2216,27.7,293,630,0.465,198,435,0.455,37,44,0.841,60,257,317,126,73,53,75,171,821
Draymond Green,PF,28,GSW,66,66,2065,31.3,188,422,0.445,47,165,0.285,63,91,0.692,60,421,481,454,95,70,169,197,486
Jeff Green,PF,32,WAS,77,44,2097,27.2,326,687,0.475,111,320,0.347,183,206,0.888,57,252,309,137,43,39,101,160,946
Blake Griffin,PF,29,DET,75,75,2622,35,619,1341,0.462,189,522,0.362,414,550,0.753,100,465,565,402,52,28,253,199,1841
Tim Hardaway,SG,26,TOT,65,63,2057,31.6,390,993,0.393,162,477,0.34,232,276,0.841,33,189,222,159,54,8,105,141,1174
James Harden,PG,29,HOU,78,78,2867,36.8,843,1909,0.442,378,1028,0.368,754,858,0.879,66,452,518,586,158,58,387,244,2818
Montrezl Harrell,C,25,LAC,82,5,2158,26.3,546,888,0.615,3,17,0.176,266,414,0.643,184,351,535,162,71,110,132,255,1361
Gary Harris,SG,24,DEN,57,48,1639,28.8,270,637,0.424,82,242,0.339,115,144,0.799,41,119,160,127,55,19,68,113,737
Joe Harris,SG,27,BRK,76,76,2293,30.2,374,748,0.5,183,386,0.474,110,133,0.827,52,239,291,181,38,17,121,182,1041
Tobias Harris,PF,26,TOT,82,82,2847,34.7,611,1254,0.487,156,393,0.397,266,307,0.866,69,576,645,229,51,37,151,184,1644
Josh Hart,SG,23,LAL,67,22,1715,25.6,189,464,0.407,92,274,0.336,55,80,0.688,35,213,248,93,64,40,58,147,525
Gordon Hayward,PF,28,BOS,72,18,1863,25.9,296,635,0.466,77,231,0.333,156,187,0.834,51,271,322,244,62,23,105,104,825
Buddy Hield,SG,26,SAC,82,82,2615,31.9,623,1360,0.458,278,651,0.427,171,193,0.886,106,306,412,205,58,33,146,202,1695
George Hill,PG,32,CLE,13,13,344,26.5,55,107,0.514,13,28,0.464,17,20,0.85,12,15,27,36,12,1,20,35,140
Jrue Holiday,SG,28,NOP,67,67,2402,35.9,547,1159,0.472,118,363,0.325,208,271,0.768,75,259,334,518,109,54,210,148,1420
Justin Holiday,SG,29,TOT,82,77,2607,31.8,300,777,0.386,162,465,0.348,95,106,0.896,46,277,323,146,121,36,104,164,857
Rodney Hood,SG,26,TOT,72,49,1893,26.3,292,671,0.435,84,236,0.356,137,155,0.884,25,132,157,126,59,12,55,146,805
Al Horford,C,32,BOS,68,68,1973,29,387,723,0.535,73,203,0.36,78,95,0.821,120,338,458,283,59,86,102,126,925
Danuel House,SF,25,HOU,39,13,979,25.1,118,252,0.468,74,178,0.416,56,71,0.789,25,115,140,40,21,11,35,80,366
Dwight Howard,C,33,WAS,9,9,230,25.6,43,69,0.623,0,0,,29,48,0.604,24,59,83,4,7,4,16,34,115
Kevin Huerter,SG,20,ATL,75,59,2048,27.3,275,657,0.419,136,353,0.385,41,56,0.732,60,185,245,214,65,25,109,155,727
R.J. Hunter,SG,25,BOS,1,0,26,26,6,13,0.462,4,10,0.4,1,2,0.5,1,2,3,3,1,0,0,3,17
Serge Ibaka,C,29,TOR,74,51,2010,27.2,464,877,0.529,49,169,0.29,135,177,0.763,156,445,601,99,29,103,114,211,1112
Joe Ingles,PF,31,UTA,82,82,2568,31.3,359,802,0.448,189,483,0.391,87,123,0.707,35,295,330,469,98,20,193,180,994
Brandon Ingram,SF,21,LAL,52,52,1760,33.8,362,729,0.497,31,94,0.33,195,289,0.675,41,226,267,154,28,31,129,149,950
Kyrie Irving,PG,26,BOS,67,67,2214,33,604,1241,0.487,174,434,0.401,214,245,0.873,71,264,335,464,103,34,172,167,1596
Jonathan Isaac,PF,21,ORL,75,64,1996,26.6,262,611,0.429,86,266,0.323,110,135,0.815,99,312,411,80,59,98,75,143,720
Jaren Jackson,PF,19,MEM,58,56,1515,26.1,298,589,0.506,51,142,0.359,151,197,0.766,73,199,272,64,52,82,98,220,798
Josh Jackson,SG,21,PHO,79,29,1988,25.2,347,841,0.413,73,225,0.324,143,213,0.671,66,281,347,183,74,56,173,209,910
Reggie Jackson,PG,28,DET,82,82,2289,27.9,441,1047,0.421,174,471,0.369,204,236,0.864,45,171,216,344,55,9,148,208,1260
LeBron James,SF,34,LAL,55,55,1937,35.2,558,1095,0.51,111,327,0.339,278,418,0.665,57,408,465,454,72,33,197,94,1505
Tyler Johnson,PG,26,TOT,57,22,1529,26.8,217,526,0.413,90,260,0.346,95,127,0.748,34,139,173,166,54,27,77,97,619
Nikola Jokic,C,23,DEN,80,80,2504,31.3,616,1206,0.511,83,270,0.307,289,352,0.821,228,637,865,580,108,55,248,228,1604
DeAndre Jordan,C,30,TOT,69,69,2047,29.7,286,446,0.641,0,0,,186,264,0.705,225,677,902,156,42,73,153,167,758
Cory Joseph,PG,27,IND,82,9,2063,25.2,226,548,0.412,55,171,0.322,30,43,0.698,39,240,279,321,94,22,80,131,537
Enes Kanter,C,26,TOT,67,31,1640,24.5,375,683,0.549,10,34,0.294,155,197,0.787,257,402,659,116,32,26,118,167,915
Kevin Knox,PF,19,NYK,75,57,2158,28.8,338,914,0.37,125,364,0.343,162,226,0.717,61,274,335,82,43,24,114,175,963
Kyle Kuzma,PF,23,LAL,70,68,2314,33.1,496,1087,0.456,128,422,0.303,188,250,0.752,60,322,382,178,41,26,133,170,1308
Jeremy Lamb,SG,26,CHO,79,55,2250,28.5,431,979,0.44,115,330,0.348,231,260,0.888,65,369,434,172,88,32,80,140,1208
Zach LaVine,SG,23,CHI,63,62,2171,34.5,530,1135,0.467,120,321,0.374,312,375,0.832,40,254,294,283,60,26,215,140,1492
Walt Lemon,PG,26,CHI,6,3,167,27.8,38,87,0.437,2,5,0.4,8,11,0.727,4,23,27,30,11,1,10,14,86
Kawhi Leonard,SF,27,TOR,60,60,2040,34,560,1129,0.496,112,302,0.371,364,426,0.854,78,361,439,199,106,24,121,87,1596
Caris LeVert,SF,24,BRK,40,25,1063,26.6,207,483,0.429,48,154,0.312,85,123,0.691,35,116,151,156,42,14,69,77,547
Damian Lillard,PG,28,POR,80,80,2838,35.5,681,1533,0.444,237,643,0.369,468,513,0.912,68,303,371,551,88,34,212,148,2067
Brook Lopez,C,30,MIL,81,81,2322,28.7,355,786,0.452,187,512,0.365,112,133,0.842,33,363,396,98,51,179,82,189,1009
Kevin Love,PF,30,CLE,22,21,598,27.2,109,283,0.385,53,147,0.361,103,114,0.904,33,206,239,48,6,5,42,54,374
Kyle Lowry,PG,32,TOR,65,65,2213,34,304,739,0.411,157,453,0.347,161,194,0.83,41,271,312,564,91,31,182,166,926
Lauri Markkanen,PF,21,CHI,52,51,1682,32.3,342,795,0.43,120,332,0.361,170,195,0.872,74,396,470,75,37,33,85,122,974
Wesley Matthews,SF-SG,32,TOT,69,68,2091,30.3,279,698,0.4,150,403,0.372,132,163,0.81,32,138,170,160,54,17,91,160,840
CJ McCollum,SG,27,POR,70,70,2375,33.9,571,1243,0.459,167,445,0.375,159,192,0.828,62,220,282,207,55,28,106,172,1468
Khris Middleton,SF,27,MIL,77,77,2393,31.1,506,1148,0.441,179,474,0.378,216,258,0.837,50,411,461,331,80,7,174,172,1407
Darius Miller,SF,28,NOP,69,15,1757,25.5,189,484,0.39,133,364,0.365,56,71,0.789,14,114,128,146,40,23,59,165,567
Paul Millsap,PF,33,DEN,70,65,1895,27.1,322,665,0.484,58,159,0.365,181,249,0.727,153,352,505,141,83,54,95,183,883
Nikola Mirotic,PF,27,TOT,46,25,1245,27.1,238,542,0.439,116,318,0.365,105,124,0.847,60,279,339,55,31,34,48,107,697
Donovan Mitchell,SG,22,UTA,77,77,2598,33.7,661,1530,0.432,188,519,0.362,319,396,0.806,59,257,316,322,106,31,218,208,1829
E'Twaun Moore,SG,29,NOP,53,36,1463,27.6,256,532,0.481,76,176,0.432,45,59,0.763,35,92,127,102,40,8,59,112,633
Marcus Morris,PF,29,BOS,75,53,2091,27.9,377,844,0.447,146,389,0.375,146,173,0.844,76,382,458,109,43,25,92,181,1046
Markieff Morris,PF,29,WAS,34,15,883,26,143,328,0.436,48,144,0.333,57,73,0.781,41,133,174,60,25,20,47,117,391
Monte Morris,PG,23,DEN,82,6,1970,24,346,702,0.493,94,227,0.414,65,81,0.802,35,159,194,297,73,4,52,102,851
Emmanuel Mudiay,PG,22,NYK,59,42,1607,27.2,330,740,0.446,69,210,0.329,144,186,0.774,33,163,196,228,43,19,140,103,873
Jamal Murray,PG,21,DEN,75,74,2447,32.6,513,1173,0.437,152,414,0.367,189,223,0.848,65,252,317,363,67,27,158,153,1367
Larry Nance,C,26,CLE,67,30,1795,26.8,249,479,0.52,33,98,0.337,96,134,0.716,168,384,552,214,100,40,97,192,627
Jusuf Nurkic,C,24,POR,72,72,1974,27.4,420,826,0.508,3,29,0.103,282,365,0.773,243,505,748,233,71,103,168,250,1125
Victor Oladipo,SG,26,IND,36,36,1147,31.9,249,588,0.423,74,216,0.343,103,141,0.73,21,181,202,186,60,11,82,72,675
Cedi Osman,SF,23,CLE,76,75,2444,32.2,360,844,0.427,130,374,0.348,141,181,0.779,45,312,357,195,60,11,114,195,991
Kelly Oubre,SF,23,TOT,69,19,1935,28,375,842,0.445,108,338,0.32,189,244,0.775,71,254,325,84,84,59,103,181,1047
Jabari Parker,PF,23,TOT,64,17,1724,26.9,369,749,0.493,61,195,0.313,131,184,0.712,79,342,421,152,46,30,151,145,930
Chris Paul,PG,33,HOU,58,58,1857,32,302,720,0.419,127,355,0.358,175,203,0.862,36,229,265,473,114,18,152,146,906
Elfrid Payton,PG,24,NOP,42,42,1250,29.8,179,412,0.434,33,105,0.314,55,74,0.743,49,171,220,320,44,17,112,81,446
Otto Porter,SF,25,TOT,56,43,1683,30.1,299,643,0.465,104,256,0.406,78,96,0.813,54,260,314,120,82,31,65,108,780
Bobby Portis,PF,23,TOT,50,28,1299,26,279,628,0.444,75,191,0.393,77,97,0.794,109,294,403,72,35,20,74,145,710
Julius Randle,PF,24,NOP,73,49,2232,30.6,571,1089,0.524,67,195,0.344,356,487,0.731,162,472,634,229,52,45,208,246,1565
J.J. Redick,SG,34,PHI,76,63,2379,31.3,452,1027,0.44,240,605,0.397,228,255,0.894,20,166,186,206,32,17,101,129,1372
Josh Richardson,SG,25,MIA,73,73,2539,34.8,423,1026,0.412,164,460,0.357,199,231,0.861,54,209,263,298,79,34,113,200,1209
Austin Rivers,SG,26,TOT,76,15,2028,26.7,232,572,0.406,104,327,0.318,50,95,0.526,25,137,162,167,47,23,68,207,618
Rajon Rondo,PG,32,LAL,46,29,1369,29.8,175,432,0.405,51,142,0.359,23,36,0.639,34,209,243,367,57,7,127,100,424
Derrick Rose,PG,30,MIN,51,13,1392,27.3,363,753,0.482,54,146,0.37,137,160,0.856,33,107,140,220,31,12,82,57,917
Terrence Ross,SG,27,ORL,81,0,2150,26.5,440,1027,0.428,217,566,0.383,126,144,0.875,27,253,280,135,72,29,90,119,1223
Ricky Rubio,PG,28,UTA,68,67,1899,27.9,295,730,0.404,79,254,0.311,195,228,0.855,33,210,243,416,91,10,180,180,864
D'Angelo Russell,PG,22,BRK,81,81,2448,30.2,659,1517,0.434,234,635,0.369,160,205,0.78,53,262,315,563,100,20,253,141,1712
Domantas Sabonis,C,22,IND,74,5,1838,24.8,413,700,0.59,9,17,0.529,208,291,0.715,186,504,690,212,48,30,160,239,1043
JaKarr Sampson,SF,25,CHI,4,0,127,31.8,29,54,0.537,5,14,0.357,17,21,0.81,5,27,32,4,4,3,4,8,80
Dario Saric,PF,24,TOT,81,41,2023,25,304,696,0.437,118,323,0.365,132,150,0.88,126,331,457,127,45,9,97,182,858
Tomas Satoransky,PG,27,WAS,80,54,2164,27.1,257,530,0.485,64,162,0.395,131,160,0.819,82,197,279,399,82,13,120,172,709
Dennis Schroder,PG,25,OKC,79,14,2314,29.3,457,1104,0.414,124,364,0.341,186,227,0.819,38,246,284,323,65,12,172,189,1224
Collin Sexton,PG,20,CLE,82,72,2605,31.8,519,1206,0.43,119,296,0.402,214,255,0.839,57,179,236,243,44,6,185,186,1371
Landry Shamet,SG,21,LAC,25,23,694,27.8,87,210,0.414,68,151,0.45,31,39,0.795,7,49,56,58,13,2,19,49,273
Iman Shumpert,SG,28,SAC,42,40,1099,26.2,133,348,0.382,74,202,0.366,34,41,0.829,19,110,129,91,47,20,38,92,374
Pascal Siakam,PF,24,TOR,80,79,2548,31.9,519,945,0.549,79,214,0.369,237,302,0.785,124,425,549,248,73,52,154,241,1354
Ben Simmons,PG,22,PHI,79,79,2700,34.2,540,960,0.563,0,6,0,257,428,0.6,172,525,697,610,112,61,274,209,1337
Marcus Smart,SG,24,BOS,80,60,2200,27.5,239,567,0.422,126,346,0.364,104,129,0.806,57,177,234,321,143,28,123,201,708
Dennis Smith,PG,21,TOT,53,50,1508,28.5,278,650,0.428,67,208,0.322,99,156,0.635,32,123,155,252,67,20,154,129,722
Jayson Tatum,SF,20,BOS,79,79,2455,31.1,466,1036,0.45,116,311,0.373,195,228,0.855,70,407,477,168,84,57,122,168,1243
Jeff Teague,PG,30,MIN,42,41,1264,30.1,176,416,0.423,35,105,0.333,123,153,0.804,16,90,106,343,43,18,97,90,510
Garrett Temple,SG,32,TOT,75,55,2040,27.2,208,493,0.422,90,264,0.341,80,107,0.748,28,188,216,106,76,30,70,204,586
Klay Thompson,SG,28,GSW,78,78,2652,34,655,1402,0.467,241,599,0.402,129,158,0.816,37,262,299,186,84,47,115,157,1680
Tristan Thompson,C,27,CLE,43,40,1198,27.9,201,380,0.529,0,0,,68,106,0.642,173,265,438,86,28,16,59,89,470
Karl-Anthony Towns,C,23,MIN,77,77,2545,33.1,681,1314,0.518,142,355,0.4,376,450,0.836,263,691,954,259,67,125,240,292,1880
P.J. Tucker,PF,33,HOU,82,82,2802,34.2,207,523,0.396,146,387,0.377,41,59,0.695,121,358,479,96,132,39,63,252,601
Myles Turner,C,22,IND,74,74,2119,28.6,380,780,0.487,76,196,0.388,148,201,0.736,101,430,531,115,60,199,100,195,984
Jonas Valanciunas,C,26,MEM,19,17,527,27.7,152,279,0.545,5,18,0.278,70,91,0.769,52,151,203,41,6,30,51,64,379
Fred VanVleet,PG,24,TOR,64,28,1760,27.5,246,600,0.41,112,296,0.378,97,115,0.843,21,146,167,307,57,20,82,110,701
Noah Vonleh,PF,23,NYK,68,57,1722,25.3,207,440,0.47,46,137,0.336,111,156,0.712,113,415,528,129,46,51,88,174,571
Nikola Vucevic,C,28,ORL,80,80,2510,31.4,701,1354,0.518,84,231,0.364,179,227,0.789,224,736,960,307,81,89,159,157,1665
Dwyane Wade,SG,37,MIA,72,2,1885,26.2,416,960,0.433,86,261,0.33,165,233,0.708,69,216,285,301,59,38,166,118,1083
Dion Waiters,SG,27,MIA,44,28,1138,25.9,198,478,0.414,109,289,0.377,22,44,0.5,7,109,116,121,29,9,64,72,527
Kemba Walker,PG,28,CHO,82,82,2863,34.9,731,1684,0.434,260,731,0.356,380,450,0.844,52,309,361,484,102,34,211,131,2102
John Wall,PG,28,WAS,32,32,1104,34.5,245,552,0.444,51,169,0.302,122,175,0.697,15,101,116,279,49,29,121,71,663
Taurean Waller-Prince,SF,24,ATL,55,47,1552,28.2,262,594,0.441,123,315,0.39,95,116,0.819,22,177,199,118,53,19,100,141,742
T.J. Warren,SF,25,PHO,43,36,1360,31.6,297,611,0.486,77,180,0.428,101,124,0.815,31,143,174,64,51,29,52,119,772
Russell Westbrook,PG,30,OKC,73,73,2630,36,630,1473,0.428,119,411,0.29,296,451,0.656,109,698,807,784,142,33,325,245,1675
Derrick White,PG,24,SAS,67,55,1728,25.8,260,543,0.479,48,142,0.338,95,123,0.772,35,212,247,263,67,47,97,145,663
Andrew Wiggins,SF,23,MIN,73,73,2543,34.8,498,1209,0.412,118,348,0.339,207,296,0.699,83,269,352,184,70,48,138,153,1321
Lou Williams,SG,32,LAC,75,1,1993,26.6,484,1138,0.425,105,291,0.361,425,485,0.876,40,182,222,402,57,11,181,80,1498
Marvin Williams,PF,32,CHO,75,75,2133,28.4,275,652,0.422,140,382,0.366,66,86,0.767,76,331,407,92,71,61,47,156,756
Justise Winslow,SF,22,MIA,66,52,1959,29.7,324,749,0.433,96,256,0.375,86,137,0.628,63,292,355,282,72,19,142,177,830
Delon Wright,PG,26,MEM,26,11,802,30.8,115,265,0.434,20,78,0.256,66,89,0.742,29,112,141,138,42,15,40,50,316
Thaddeus Young,PF,30,IND,81,81,2489,30.7,443,841,0.527,51,146,0.349,87,135,0.644,192,331,523,204,123,36,123,194,1024
Trae Young,PG,20,ATL,81,81,2503,30.9,525,1256,0.418,156,482,0.324,343,414,0.829,64,237,301,653,72,15,308,140,1549
Cody Zeller,C,26,CHO,49,47,1243,25.4,190,345,0.551,6,22,0.273,111,141,0.787,110,223,333,102,38,41,62,164,497
