Name,State,ID,Main,Accred,MainDegree,HighDegree,Control,Region,Locale,Enrollment,White,Black,Hispanic,Asian,Other,PartTime,NetPrice,Cost,TuitionIn,TuitonOut,TuitionFTE,InstructFTE,FacSalary,FullTimeFac,Pell,CompRate,Debt,Female,FirstGen,MedIncome
CUNY Medgar Evers College,NY,190646,1,Middle States Commission on Higher Education,2,3,Public,Northeast,City,6204,1.8,75.7,15.5,2.5,4.5,23.6,5978,14681,6952,14342,2219,11906,10606,36.9,60.4,11.81,705,71.8,50.3,18.8
Ozarks Technical Community College,MO,177472,1,Higher Learning Commission,2,2,Public,Midwest,City,10618,82.7,2.9,5.1,1.3,8,46.5,7643,11214,3192,5352,2173,4735,5603,18.8,48.5,29.5,1823,59.4,46.5,21.9
Yuba College,CA,126119,1,Western Association of Schools and Colleges Accrediting Commission for Community,2,2,Public,West,Suburb,4889,37.5,3,35.3,14.7,9.6,69.1,3887,10528,1124,6284,449,6948,6758,37,39,23.42,12,57.8,58.4,18.5
Highlands College of Montana Tech,MT,180081,0,Northwest Commission on Colleges and Universities,2,2,Public,West,Town,456,85.1,0.7,3.1,1.1,10.1,13.8,9156,13361,3351,8974,4575,5033,8215,76.5,31.2,21.85,502,39.4,33.7,38.4
Florida SouthWestern State College,FL,133508,1,Southern Association of Colleges and Schools Commission on Colleges,2,3,Public,Southeast,Suburb,12618,45.7,11.8,31.4,1.7,9.4,62.3,8664,13223,3401,12979,1585,3710,6419,24.9,33.5,34.81,1566,62.1,50.4,25.9
Laney College,CA,117247,1,Western Association of Schools and Colleges Accrediting Commission for Community,2,2,Public,West,City,8817,15.3,21.1,20.7,31.5,11.5,80.6,6077,12877,1230,7110,1329,5762,8577,38.3,22.4,24.58,34,56.5,61.2,10.6
Rose State College,OK,207670,1,Higher Learning Commission,2,2,Public,West,Suburb,5982,52.4,16.6,7.2,2.9,20.9,52.4,9583,14592,4124,10501,1304,5406,4895,31.6,36.1,18.76,440,66.8,46.9,23.5
Marion Technical College,OH,203881,1,Higher Learning Commission,2,2,Public,Midwest,Town,1340,80.3,12,2.5,0.5,4.8,74,6338,10475,4480,6400,3141,5174,5766,100,26.6,22.33,262,72.6,50.4,27
Atlanta Metropolitan State College,GA,138901,1,Southern Association of Colleges and Schools Commission on Colleges,2,3,Public,Southeast,City,2238,1.5,88.9,5.1,0.7,3.8,54.4,4730,10497,3416,9880,2326,3974,5351,70.8,65.9,9.02,309,62.9,39.5,16.4
MacCormac College,IL,146816,1,Higher Learning Commission,2,2,Private,Midwest,City,278,17.3,59,20.9,0.4,2.5,34.2,20140,22502,12660,12660,13007,3217,4665,100,41.3,11.76,55,77.8,56.4,17.7
Rasmussen College-Illinois,IL,448673,0,Higher Learning Commission,2,3,Profit,Midwest,City,1671,39.5,27.4,16.2,3,13.9,44.1,18067,22488,10935,10935,18566,4601,5653,32.2,59.7,30.36,11017,81.4,47.6,25.1
Coconino Community College,AZ,404426,1,Higher Learning Commission,2,2,Public,West,Rural,2459,50.3,1.6,19.5,1.1,27.6,60.9,11409,15673,3150,11025,3232,2608,7055,23.4,23.1,17.82,155,53.5,40.9,26.8
Monroe College,NY,193308,1,Middle States Commission on Higher Education,2,4,Profit,Northeast,City,5417,2.5,42.8,40,1.7,13.1,23.8,11821,22661,14976,14976,11694,3925,5821,43.4,69.8,53.06,2863,61.4,49.1,19.1
Victoria College,TX,229540,1,Southern Association of Colleges and Schools Commission on Colleges,2,2,Public,West,City,3176,41.8,6.2,48.5,1.7,1.9,65.8,6690,11810,2640,4650,4010,7103,6109,26.8,31.7,15.88,355,69.5,50.8,22.3
Western Piedmont Community College,NC,199908,1,Southern Association of Colleges and Schools Commission on Colleges,2,2,Public,Southeast,City,1420,75.9,7.8,8.2,7.1,1.1,52.9,5348,10821,2577,8721,1075,6440,5516,25.3,45.8,28.95,24,61,46.1,22
New River Community and Technical College,WV,447582,1,Higher Learning Commission,2,2,Public,Southeast,Suburb,961,88.8,6.8,0,0.4,4.1,23.9,6776,9560,3966,4834,1784,4774,5175,100,56.6,17.66,126,60.2,58.7,20.3
University of New Mexico-Gallup Campus,NM,187958,0,Higher Learning Commission,2,2,Public,West,Rural,1723,4.1,0.6,13.4,1.8,80.2,45.7,6369,11476,1932,4708,1664,5691,6568,50,58.4,12.56,5018,58.3,41,28
Hill College,TX,225371,1,Southern Association of Colleges and Schools Commission on Colleges,2,2,Public,West,Town,2641,62.8,6.9,10.4,0.6,19.3,44.7,8878,13531,1995,2695,1928,4511,5062,35.5,25.6,20.74,397,61.7,48.4,26.2
Delaware County Community College,PA,211927,1,Middle States Commission on Higher Education,2,2,Public,Northeast,Suburb,11030,55.6,28.2,3.6,4.7,8,71.5,10401,14243,5291,12830,3337,7183,8836,20.6,35.4,16.51,1004,61,47.1,27.3
College of the Mainland,TX,226408,1,Southern Association of Colleges and Schools Commission on Colleges,2,2,Public,West,Suburb,3047,43.7,20.9,31.2,2.4,1.9,67.1,2769,7510,1773,3873,1835,6376,6204,100,20.7,21.29,159,63.3,46.5,22.1
