State,HouseholdIncome,Region,Population,EighthGradeMath,HighSchool,College,IQ,GSP,Vegetables,Fruit,Smokers,PhysicalActivity,Obese,NonWhite,HeavyDrinkers,Electoral,ClintonVote,Elect2016,TwoParents,StudentSpending,Insured
New Jersey,76.475,NE,9.006,291.8,92.2,44,102.8,62.263,80.9,66.3,13.7,48.9,25.7,32.1,5.13,14,54.99,D,69.7,18.402,86.2
New Mexico,46.718,W,2.088,268.8,86.9,23.1,95.7,44.187,79.5,62.6,17.5,54,32.3,25.8,5.33,5,48.26,D,54.7,9.693,81.9
New York,62.765,NE,19.849,280.4,90.0,44.2,100.7,73.531,79.7,66.5,14.1,49.3,27.6,36.2,5.82,29,59.01,D,64.6,22.366,89.2
North Carolina,50.32,S,10.273,283.7,88.7,32.6,100.2,47.778,84.4,62.6,17.2,49.2,33,31,6.45,15,46.17,R,63.3,8.792,82.3
North Dakota,61.285,MW,0.755,285.6,95.0,34.9,103.8,67.308,80.2,63.2,18.3,45.7,35.1,12.3,7.51,3,27.23,R,73.4,13.373,90.1
Ohio,52.407,MW,11.659,285.7,91.6,32.7,101.8,51.456,81.3,62.3,21.1,47.8,34,18.1,6.19,18,43.56,R,62.5,12.102,89.7
Oklahoma,49.767,S,3.931,276.5,88.9,26.3,99.3,48.954,82.9,54.2,20.1,42.5,34.8,27.4,4.21,7,28.93,R,64.3,8.097,78.8
Oregon,56.119,W,4.143,279.5,90.9,33.9,101.2,50.996,83.6,67.0,16.1,56.9,29.9,15.1,8.45,7,50.07,D,69.9,10.842,87.3
Pennsylvania,56.951,NE,12.806,285,92.0,38.1,101.5,55.602,83.6,65.9,18.7,53,30.9,18.9,6.24,20,47.46,R,65.4,15.418,90.2
Rhode Island,61.043,NE,1.060,275.7,91.4,38,99.5,50.827,82.1,66.3,14.9,50.6,27.7,19.1,6.78,4,54.41,D,64.9,15.532,90.6
South Carolina,48.781,S,5.024,276.4,88.0,28.5,98.4,39.883,82.0,59.4,18.8,48.6,34.3,32.7,6.5,9,40.67,R,59.6,10.249,82
South Dakota,54.126,MW,0.870,287.1,91.6,31.6,102.8,51.997,83.1,63.1,19.3,50.8,30.1,15.3,8.54,3,31.74,R,68.6,9.176,86.2
Tennessee,48.708,S,6.716,280.1,90.5,30.8,97.7,47.695,84.2,61.1,22.6,47,34.4,22.2,6.01,11,34.72,R,62.9,8.81,84.1
Texas,57.051,S,28.305,279.7,86.9,29.8,100,58.417,78.1,60.6,15.7,41.9,34.8,25.4,6.16,38,43.24,R,65.8,9.016,75.2
Utah,65.325,W,3.102,284.9,92.5,32.3,101.1,49.740,82.7,67.9,8.9,54,27.8,13.2,3.75,6,27.46,R,80.6,6.953,85.8
Vermont,57.808,NE,0.624,286.6,93.1,39.7,103.8,47.921,87.1,70.3,15.8,59.7,27.5,5.5,7.5,3,56.68,D,69.8,17.873,93
Virginia,68.766,S,8.470,287.1,92.3,40.5,101.9,55.929,84.2,63.4,16.4,50.9,30.4,31.6,5.85,13,49.73,D,69.5,11.432,86.2
Washington,66.174,W,7.406,285.8,91.4,35.9,101.9,67.242,83.2,67.9,13.5,57.9,28.7,23.3,6.09,12,52.54,D,71,11.534,88.2
West Virginia,44.061,S,1.816,272.4,91.0,25.3,98.7,39.495,81.7,55.1,26,48.1,39.5,6.7,4.24,5,26.43,R,63.3,11.291,88
Wisconsin,56.759,MW,5.795,288.7,93.4,34.7,102.9,51.575,81.0,67.6,16,57.1,32,14.1,7.49,10,46.45,R,67.1,11.456,91
Wyoming,60.938,W,0.579,286.3,93.0,27.8,102.4,66.413,84.7,62.3,18.7,53.9,29,8.7,6.95,3,21.63,R,71.7,16.442,83.5
