Player,Position,Team,TotalMoney,YearlySalary
Jamison Crowder,WR,Jets,28.500,9.500
Devin McCourty,S,Patriots,47.500,9.500
Ricky Wagner,RT,Lions,47.500,9.500
Aqib Talib,CB,Dolphins,57.000,9.500
Weston Richburg,C,49ers,47.500,9.500
Travis Frederick,C,Cowboys,56.400,9.400
Golden Tate,WR,Giants,37.500,9.375
Travis Kelce,TE,Chiefs,46.842,9.368
Jordan Reed,TE,Redskins,46.750,9.350
Dontari Poe,43DT,Panthers,28.000,9.333
"Charles Leno, Jr.",LT,Bears,37.000,9.250
Ndamukong Suh,34DE,Buccaneers,9.250,9.250
Derek Wolfe,34DE,Broncos,36.700,9.175
Richard Sherman,CB,49ers,27.150,9.050
Kyle Rudolph,TE,Vikings,36.100,9.025
Matt Paradis,C,Panthers,27.030,9.010
Justin Pugh,RG,Cardinals,45.025,9.005
Alex Mack,C,Falcons,45.000,9.000
Justin Coleman,CB,Lions,36.000,9.000
Quincy Enunwa,WR,Jets,36.000,9.000
DeSean Jackson,WR,Eagles,27.000,9.000
Ronald Leary,RG,Broncos,36.000,9.000
Tyrone Crawford,43DT,Cowboys,45.000,9.000
Shaquille Mason,RG,Patriots,45.000,9.000
Prince Amukamara,CB,Bears,27.000,9.000
Adrian Amos,S,Packers,36.000,9.000
Anthony Hitchens,43OLB,Chiefs,45.000,9.000
Adam Humphries,WR,Titans,36.000,9.000
John Brown,WR,Bills,27.000,9.000
Justin Britt,C,Seahawks,27.000,9.000
Ezekiel Ansah,43DE,Seahawks,9.000,9.000
Dont'a Hightower,43OLB,Patriots,35.500,8.875
Kyler Murray,QB,Cardinals,35.159,8.790
Malcolm Jenkins,S,Eagles,35.000,8.750
Tavon Young,CB,Ravens,25.800,8.600
Greg Olsen,TE,Panthers,17.100,8.550
Steven Nelson,CB,Steelers,25.500,8.500
Jabaal Sheard,43DE,Colts,25.500,8.500
Zach Ertz,TE,Eagles,42.500,8.500
Delanie Walker,TE,Titans,17.000,8.500
Mike Pouncey,C,Chargers,8.500,8.500
Tony Jefferson,S,Ravens,34.000,8.500
Marqise Lee,WR,Jaguars,34.000,8.500
Jordan Hicks,ILB,Cardinals,34.000,8.500
Corey Linsley,C,Packers,25.500,8.500
Larry Warford,RG,Saints,34.000,8.500
Ryan Kalil,C,Jets,8.400,8.400
Henry Anderson,34DE,Jets,25.200,8.400
Nick Bosa,43DE,49ers,33.552,8.388
Michael Bennett,43DE,Cowboys,16.750,8.375
Kenny Moore,CB,Colts,33.300,8.325
Laurent Duvernay-Tardif,RG,Chiefs,41.265,8.253
Devonta Freeman,RB,Falcons,41.250,8.250
Baker Mayfield,QB,Browns,32.683,8.171
Jason Kelce,C,Eagles,24.500,8.167
Quinnen Williams,34DT,Jets,32.529,8.132
Rob Havenstein,RT,Rams,32.500,8.125
Mike Daniels,43DT,Lions,8.100,8.100
Gerald McCoy,43DT,Panthers,8.000,8.000
Kenny Stills,WR,Texans,32.000,8.000
Robert Quinn,43DE,Cowboys,8.000,8.000
Kelvin Beachum,LT,Jets,24.000,8.000
Demario Davis,ILB,Saints,24.000,8.000
Brandon Brooks,RG,Eagles,40.000,8.000
Morgan Moses,RT,Redskins,40.000,8.000
Trey Burton,TE,Bears,32.000,8.000
Albert Wilson,WR,Dolphins,24.000,8.000
Paul Richardson,WR,Redskins,40.000,8.000
Marvin Jones,WR,Lions,40.000,8.000
Bobby Massie,RT,Bears,32.000,8.000
Clelin Ferrell,43DE,Raiders,31.361,7.840
Saquon Barkley,RB,Giants,31.195,7.799
Julian Edelman,WR,Patriots,15.500,7.750
Nigel Bradham,ILB,Eagles,31.000,7.750
T.J. Carrie,CB,Browns,31.000,7.750
Cameron Wake,34OLB,Titans,23.000,7.667
Myles Garrett,43DE,Browns,30.412,7.603
Sam Darnold,QB,Jets,30.248,7.562
Jared Cook,TE,Saints,15.000,7.500
Trent Murphy,43DE,Bills,22.500,7.500
Pierre Desir,CB,Colts,22.500,7.500
Avery Williamson,ILB,Jets,22.500,7.500
Mario Addison,43DE,Panthers,22.500,7.500
Case Keenum,QB,Redskins,7.500,7.500
Jerick McKinnon,RB,49ers,30.000,7.500
Robert Alford,CB,Cardinals,22.500,7.500
Tashaun Gipson,S,Texans,22.500,7.500
Eric Reid,S,Panthers,22.050,7.350
Devin White,ILB,Buccaneers,29.316,7.329
Chris Hubbard,RT,Browns,36.500,7.300
Denzel Ward,CB,Browns,29.165,7.291
Mitchell Trubisky,QB,Bears,29.032,7.258
Tyler Higbee,TE,Rams,29.000,7.250
Cole Beasley,WR,Bills,29.000,7.250
Teddy Bridgewater,QB,Saints,7.250,7.250
Brian Winters,RG,Jets,29.000,7.250
Matt Ioannidis,34DE,Redskins,21.750,7.250
Solomon Thomas,43DE,49ers,28.154,7.039
Danny Trevathan,ILB,Bears,28.000,7.000
DaQuan Jones,34DE,Titans,21.000,7.000
Ryan Tannehill,QB,Titans,7.000,7.000
Terrell Suggs,34OLB,Cardinals,7.000,7.000
Bryce Callahan,CB,Broncos,21.000,7.000
K.J. Wright,43OLB,Seahawks,14.000,7.000
Zach Fulton,LG,Texans,28.000,7.000
Billy Turner,LG,Packers,28.000,7.000
Patrick Chung,S,Patriots,7.000,7.000
Jonathan Jones,CB,Patriots,21.000,7.000
Bradley Chubb,34OLB,Broncos,27.271,6.818
Robert Woods,WR,Rams,34.000,6.800
Cameron Brate,TE,Buccaneers,40.800,6.800
Leonard Fournette,RB,Jaguars,27.151,6.787
Dean Lowry,34DE,Packers,20.325,6.775
Bryan Bulaga,RT,Packers,33.750,6.750
Ben Jones,C,Titans,13.500,6.750
Bobby McCain,S,Dolphins,27.000,6.750
Vance McDonald,TE,Steelers,32.500,6.500
Greg Robinson,LT,Browns,6.500,6.500
Eric Ebron,TE,Colts,13.000,6.500
Ricardo Allen,S,Falcons,19.500,6.500
Whitney Mercilus,34OLB,Texans,26.000,6.500
Ronald Darby,CB,Eagles,6.500,6.500
Jaquiski Tartt,S,49ers,13.000,6.500
Taylor Gabriel,WR,Bears,26.000,6.500
Mohamed Sanu,WR,Patriots,32.500,6.500
Lamar Miller,RB,Texans,26.000,6.500
Marcus Cannon,RT,Patriots,32.500,6.500
Joey Bosa,43DE,Chargers,25.874,6.468
Daniel Jones,QB,Giants,25.664,6.416
Corey Davis,WR,Titans,25.395,6.349
Jameis Winston,QB,Buccaneers,25.351,6.338
D.J. Hayden,CB,Jaguars,19.000,6.333
Tahir Whitehead,43OLB,Raiders,19.000,6.333
Jack Doyle,TE,Colts,18.900,6.300
Marquise Goodwin,WR,49ers,18.850,6.283
Tyler Kroft,TE,Bills,18.750,6.250
Vince Williams,ILB,Steelers,18.600,6.200
Quandre Diggs,S,Seahawks,18.600,6.200
CJ Uzomah,TE,Bengals,18.300,6.100
Kyle Long,RG,Bears,12.200,6.100
Micah Hyde,S,Bills,30.500,6.100
Jamon Brown,RG,Falcons,18.250,6.083
Marcus Mariota,QB,Titans,24.214,6.053
Denzel Perryman,ILB,Chargers,12.050,6.025
Leonard Williams,34DE,Giants,30.038,6.008
Willie Snead,WR,Ravens,6.000,6.000
Jason Peters,LT,Eagles,6.000,6.000
Daryl Williams,RT,Panthers,6.000,6.000
Alejandro Villanueva,LT,Steelers,24.000,6.000
Brandon Carr,CB,Ravens,24.000,6.000
Darryl Roberts,CB,Jets,18.000,6.000
Alex Okafor,43DE,Chiefs,18.000,6.000
Kenny Vaccaro,S,Titans,24.000,6.000
Johnathan Joseph,CB,Texans,6.000,6.000
Marcus Gilbert,RT,Cardinals,30.000,6.000
Nick Boyle,TE,Ravens,18.000,6.000
Mark Barron,ILB,Steelers,12.000,6.000
Quenton Nelson,LG,Colts,23.889,5.972
Denico Autry,43DT,Colts,17.800,5.933
Jalen Ramsey,CB,Rams,23.351,5.838
Devon Kennard,43OLB,Lions,17.250,5.750
Kiko Alonso,43OLB,Saints,11.400,5.700
John Miller,RG,Bengals,17.100,5.700
Josh Allen,43DE,Jaguars,22.743,5.686
Amari Cooper,WR,Cowboys,22.663,5.666
Jesse James,TE,Lions,22.600,5.650
Isaac Seumalo,LG,Eagles,17.627,5.626
Nick Easton,LG,Saints,22.500,5.625
J.C. Tretter,C,Browns,16.750,5.583
Jamal Adams,S,Jets,22.259,5.565
Preston Brown,ILB,Bengals,16.500,5.500
Tyrod Taylor,QB,Chargers,11.000,5.500
Laken Tomlinson,LG,49ers,16.500,5.500
Demar Dotson,RT,Buccaneers,16.500,5.500
Ryan Fitzpatrick,QB,Dolphins,11.000,5.500
Buster Skrine,CB,Bears,16.500,5.500
William Gholston,34DE,Buccaneers,27.500,5.500
Lane Taylor,LG,Packers,16.500,5.500
Mark Glowinski,RG,Colts,16.200,5.400
Bobby Hart,RT,Bengals,16.150,5.383
Kyle Van Noy,43OLB,Patriots,10.750,5.375
Brandon Scherff,RG,Redskins,21.216,5.304
Josh Allen,QB,Bills,21.183,5.296
Eric Weddle,S,Rams,10.502,5.251
Allen Bailey,43DE,Falcons,10.500,5.250
Thomas Davis,43OLB,Chargers,10.500,5.250
Kyle Juszczyk,FB,49ers,21.000,5.250
James Carpenter,LG,Falcons,21.000,5.250
Nickell Robey-Coleman,CB,Rams,15.675,5.225
Duke Johnson,RB,Texans,15.610,5.203
Josh Kline,RG,Vikings,15.500,5.167
Ronnie Stanley,LT,Ravens,20.484,5.121
AJ Cann,RG,Jaguars,15.055,5.018
Jesse Davis,RT,Dolphins,15.050,5.017
Cordarrelle Patterson,WR,Bears,10.000,5.000
Todd Davis,ILB,Broncos,15.000,5.000
Kareem Martin,34OLB,Giants,15.000,5.000
Patrick Robinson,CB,Saints,20.000,5.000
Jason McCourty,CB,Patriots,10.000,5.000
DeVante Parker,WR,Dolphins,10.000,5.000
Vernon Davis,TE,Redskins,15.000,5.000
Ty Nsekhe,RT,Bills,10.000,5.000
Mark Ingram,RB,Ravens,15.000,5.000
Jason Pierre-Paul,43DE,Buccaneers,5.000,5.000
Chase Daniel,QB,Bears,10.000,5.000
Tramon Williams,CB,Packers,10.000,5.000
Randall Cobb,WR,Cowboys,5.000,5.000
Malcom Brown,43DT,Saints,15.000,5.000
A.J. Klein,43OLB,Saints,15.000,5.000
Justin Tucker,K,Ravens,20.000,5.000
T.J. Hockenson,TE,Lions,19.821,4.955
Dion Lewis,RB,Titans,19.800,4.950
Mike Williams,WR,Chargers,19.750,4.938
Jakeem Grant,WR,Dolphins,19.700,4.925
Ed Oliver,43DT,Bills,19.675,4.919
Shawn Williams,S,Bengals,19.500,4.875
Giovani Bernard,RB,Bengals,9.700,4.850
Robbie Gould,K,49ers,19.000,4.750
Ty Sambrailo,RT,Falcons,14.250,4.750
Devin Bush,ILB,Steelers,18.872,4.718
Brandon Mebane,43DT,Chargers,9.300,4.650
Clay Matthews,34OLB,Rams,9.250,4.625
Roquan Smith,ILB,Bears,18.477,4.619
Mike McGlinchey,RT,49ers,18.342,4.585
DeForest Buckner,43DT,49ers,18.191,4.548
Donte Moncrief,WR,Panthers,9.000,4.500
Jimmie Ward,CB,49ers,4.500,4.500
Jordan Phillips,43DT,Bills,4.500,4.500
Margus Hunt,43DE,Colts,9.000,4.500
J.R. Sweezy,RG,Cardinals,9.000,4.500
Mychal Kendricks,43OLB,Seahawks,4.500,4.500
Danny Amendola,WR,Lions,4.500,4.500
Bradley McDougald,S,Seahawks,13.500,4.500
Rhett Ellison,TE,Giants,18.000,4.500
Darqueze Dennard,CB,Bengals,4.500,4.500
Jonah Williams,LT,Bengals,17.630,4.408
Josh Rosen,QB,Dolphins,17.598,4.399
James Hurst,RT,Ravens,17.500,4.375
Christian McCaffrey,RB,Panthers,17.241,4.310
John Ross,WR,Bengals,17.116,4.279
Tevin Coleman,RB,49ers,8.500,4.250
Jason Witten,TE,Cowboys,4.250,4.250
Graham Gano,K,Panthers,17.000,4.250
Johnathan Hankins,43DT,Raiders,8.500,4.250
Stephen Gostkowski,K,Patriots,8.500,4.250
Duron Harmon,S,Patriots,17.000,4.250
Chris Boswell,K,Steelers,16.806,4.202
Seantrel Henderson,RT,Texans,4.200,4.200
Spencer Long,C,Bills,12.600,4.200
Shamar Stephen,43DT,Vikings,12.450,4.150
Cameron Erving,LT,Chiefs,8.279,4.140
Ramon Foster,LG,Steelers,8.250,4.125
Minkah Fitzpatrick,S,Steelers,16.448,4.112
Patrick Mahomes,QB,Chiefs,16.426,4.106
Harrison Butker,K,Chiefs,20.275,4.055
Wil Lutz,K,Saints,20.250,4.050
Mason Crosby,K,Packers,16.100,4.025
Travis Benjamin,WR,Chargers,4.000,4.000
Brian Hoyer,QB,Colts,12.000,4.000
Breshad Perriman,WR,Buccaneers,4.000,4.000
Daniel Sorensen,S,Chiefs,16.000,4.000
Ryan Succop,K,Titans,20.000,4.000
Beau Allen,43DT,Buccaneers,4.000,4.000
Anthony Chickillo,34OLB,Steelers,8.000,4.000
Tyler Eifert,TE,Bengals,4.000,4.000
Shaquil Barrett,34OLB,Buccaneers,4.000,4.000
Jake Ryan,ILB,Jaguars,8.000,4.000
Angelo Blackson,34DE,Texans,12.000,4.000
Jeff Heuerman,TE,Broncos,8.000,4.000
Rodney McLeod,S,Eagles,4.000,4.000
Bruce Irvin,43DE,Panthers,4.000,4.000
James White,RB,Patriots,12.000,4.000
Corey Peters,34DT,Cardinals,12.000,4.000
Chris Smith,43DE,Browns,12.000,4.000
Jack Conklin,RT,Titans,15.898,3.974
Rashan Gary,34OLB,Packers,15.877,3.969
Leonard Floyd,34OLB,Bears,15.783,3.946
Daniel Kilgore,C,Dolphins,11.750,3.925
Thomas Morstead,P,Saints,15.600,3.900
Adam Vinatieri,K,Colts,3.875,3.875
Stephen Hauschka,K,Bills,7.750,3.875
Abry Jones,43DT,Jaguars,15.500,3.875
Jason Myers,K,Seahawks,15.450,3.863
Christian Wilkins,43DT,Dolphins,15.439,3.860
Marshon Lattimore,CB,Saints,15.360,3.840
Wesley Woodyard,ILB,Titans,7.650,3.825
Matt Prater,K,Lions,11.400,3.800
Eli Apple,CB,Saints,15.152,3.788
Josh Lambo,K,Jaguars,15.500,3.785
Brandon McManus,K,Broncos,11.254,3.751
Markus Golden,34OLB,Giants,3.750,3.750
Johnny Hekker,P,Rams,18.750,3.750
Lorenzo Alexander,43OLB,Bills,3.750,3.750
Cameron Fleming,LT,Cowboys,7.500,3.750
Brennan Scarlett,34OLB,Texans,3.750,3.750
Vita Vea,34DT,Buccaneers,14.824,3.706
Bud Dupree,34OLB,Steelers,18.454,3.691
Chris Lindstrom,RG,Falcons,14.709,3.677
Ted Ginn,WR,Saints,11.000,3.667
Ryan Shazier,ILB,Steelers,18.225,3.645
Jon Feliciano,RG,Bills,7.250,3.625
Vic Beasley,43OLB,Falcons,14.495,3.624
Da'Ron Payne,34DT,Redskins,14.418,3.605
Dwayne Haskins,QB,Redskins,14.417,3.604
Latavius Murray,RB,Saints,14.400,3.600
Lawrence Guy,43DT,Patriots,14.400,3.600
Ed Dickson,TE,Seahawks,10.700,3.567
Vernon Hargreaves,CB,Buccaneers,14.178,3.544
Eric Rowe,CB,Dolphins,3.500,3.500
Sean Lee,43OLB,Cowboys,3.500,3.500
B.W. Webb,CB,Bengals,10.500,3.500
Chris Thompson,RB,Redskins,7.000,3.500
Quinton Dunbar,CB,Redskins,10.500,3.500
Deshaun Watson,QB,Texans,13.854,3.464
Marcus Davenport,43DE,Saints,13.742,3.435
Barkevious Mingo,34OLB,Texans,6.800,3.400
Romeo Okwara,43DE,Lions,6.800,3.400
Brian Burns,43DE,Panthers,13.540,3.385
Haason Reddick,ILB,Cardinals,13.478,3.370
Kolton Miller,LT,Raiders,13.471,3.368
Chad Henne,QB,Chiefs,6.700,3.350
Terrance Mitchell,CB,Browns,10.000,3.333
Dexter Lawrence,34DE,Giants,13.248,3.312
Ross Cockrell,CB,Panthers,6.600,3.300
Geoff Swaim,TE,Jaguars,6.600,3.300
Rex Burkhead,RB,Patriots,9.750,3.250
Drew Stanton,QB,Browns,6.500,3.250
Antoine Bethea,S,Giants,6.500,3.250
Sam Koch,P,Ravens,16.250,3.250
Ereck Flowers,LG,Redskins,3.250,3.250
Morgan Burnett,S,Browns,7.500,3.250
Jordan Poyer,S,Bills,13.000,3.250
Colt McCoy,QB,Redskins,6.500,3.250
Trae Waynes,CB,Vikings,12.944,3.236
Garrett Bradbury,C,Vikings,12.883,3.221
Derek Barnett,43DE,Eagles,12.851,3.213
Sheldon Rankins,43DT,Saints,12.802,3.200
Brett Kern,P,Titans,12.550,3.183
Christian Jones,43OLB,Lions,6.350,3.175
Jeffery Simmons,34DE,Titans,12.664,3.166
Tremaine Edmunds,ILB,Bills,12.660,3.165
Malik Hooker,S,Colts,12.600,3.150
Noah Fant,TE,Broncos,12.591,3.148
Darnell Savage Jr.,S,Packers,12.518,3.129
Senio Kelemete,LG,Texans,6.250,3.125
Laremy Tunsil,LT,Texans,12.458,3.114
Derwin James,S,Chargers,12.389,3.097
George Fant,LT,Seahawks,3.095,3.095
B.J. Finney,C,Steelers,3.095,3.095
Robby Anderson,WR,Jets,3.095,3.095
Daryl Worley,CB,Raiders,3.095,3.095
Jalen Richard,RB,Raiders,3.095,3.095
Trey Hopkins,C,Bengals,3.095,3.095
Patrick Onwuasor,ILB,Ravens,3.095,3.095
Michael Pierce,34DT,Ravens,3.095,3.095
Anthony Harris,S,Vikings,3.095,3.095
Nate Sudfeld,QB,Eagles,3.095,3.095
Chester Rogers,WR,Colts,3.095,3.095
Ka'imi Fairbairn,K,Texans,3.095,3.095
Shelby Harris,34DE,Broncos,3.095,3.095
Cory Littleton,ILB,Rams,3.095,3.095
Andre Dillard,LT,Eagles,12.372,3.093
Jaire Alexander,CB,Packers,12.051,3.013
Kevin Johnson,CB,Bills,3.000,3.000
Demetrius Harris,TE,Browns,6.000,3.000
Lee Smith,TE,Bills,9.000,3.000
DJ Fluker,RG,Seahawks,6.000,3.000
Mike Davis,RB,Bears,6.000,3.000
Jason Verrett,CB,49ers,3.000,3.000
Brian Poole,CB,Jets,3.000,3.000
David Andrews,C,Patriots,9.000,3.000
Ha-Ha Clinton-Dix,S,Bears,3.000,3.000
LeSean McCoy,RB,Chiefs,3.000,3.000
AJ McCarron,QB,Texans,3.000,3.000
Demaryius Thomas,WR,Jets,3.000,3.000
Greg Mancz,C,Texans,6.000,3.000
Josh Jacobs,RB,Raiders,11.933,2.983
Karl Joseph,S,Raiders,11.884,2.971
Leighton Vander Esch,43OLB,Cowboys,11.848,2.962
Marlon Humphrey,CB,Ravens,11.847,2.962
Josh Hill,TE,Saints,8.850,2.950
K'Waun Williams,CB,49ers,8.850,2.950
Marquise Brown,WR,Ravens,11.787,2.947
Frank Ragnow,LG,Lions,11.780,2.945
Billy Price,C,Bengals,11.712,2.928
Damien Wilson,43OLB,Chiefs,5.835,2.918
Montez Sweat,34OLB,Redskins,11.641,2.910
Matt Bosher,P,Falcons,14.500,2.900
Raheem Mostert,RB,49ers,8.650,2.900
Rigoberto Sanchez,P,Colts,11.600,2.900
Jonathan Allen,34DE,Redskins,11.597,2.899
Rashaan Evans,ILB,Titans,11.577,2.894
Tyson Alualu,34DE,Steelers,5.750,2.875
Johnathan Abram,S,Raiders,11.495,2.874
Virgil Green,TE,Chargers,8.600,2.867
Isaiah Wynn,LT,Patriots,11.442,2.860
Jerry Tillery,43DT,Chargers,11.422,2.856
Andrus Peat,LG,Saints,11.393,2.848
Adoree' Jackson,CB,Titans,11.283,2.821
