Name,State,ID,Main,Accred,MainDegree,HighDegree,Control,Region,Locale,Latitude,Longitude,AdmitRate,MidACT,AvgSAT,Online,Enrollment,White,Black,Hispanic,Asian,Other,PartTime,NetPrice,Cost,TuitionIn,TuitonOut,TuitionFTE,InstructFTE,FacSalary,FullTimeFac,Pell,CompRate,Debt,Female,FirstGen,MedIncome
Webster University,MO,179894,1,Higher Learning Commission,3,4,Private,Midwest,Suburb,38.588875,-90.345151,0.5356,24,1164,0,2954,61.9,16.1,6.2,2.2,13.7,22.6,22937,41764,27100,27100,16547,7911,8920,100,33,63.56,1060,60.4,30.1,41.7
Dickinson State University,ND,200059,1,Higher Learning Commission,3,3,Public,Midwest,Town,46.882917,-102.799679,0.9897,21,1042,0,1153,76.7,5,5.6,0.9,11.8,21.4,11976,15790,6554,9226,6000,12969,6768,52.2,22.3,31.56,307,58.5,30.5,58.8
San Francisco State University,CA,122597,1,Western Association of Schools and Colleges Senior Colleges and University Commi,3,4,Public,West,City,37.721224,-122.476799,0.7046,21,1054,0,25966,18.3,5.4,33.1,26,17.2,15.1,13787,22313,7254,19134,5230,7998,10411,49.8,42.7,53.59,5608,58.4,48.2,27.9
University of Akron Main Campus,OH,200800,1,Higher Learning Commission,3,4,Public,Midwest,City,41.078551,-81.511679,0.9255,23,1125,0,15047,73.3,12.4,2.7,2.7,8.9,12.8,17951,24128,10270,18801,9845,10572,9571,53.2,33.3,37.89,4513,50.1,36.4,44.9
Stetson University,FL,137546,1,Southern Association of Colleges and Schools Commission on Colleges,3,4,Private,Southeast,Suburb,29.035475,-81.300746,0.6783,,,0,3031,61.5,7.8,15.9,2.3,12.4,1.1,26883,57961,44490,44490,19089,12030,10103,68.7,31.9,62.32,894,61.6,26.7,52
University of Tulsa,OK,207971,1,Higher Learning Commission,3,4,Private,West,City,36.152324,-95.945941,0.3895,29,1335,0,3316,56.8,5.3,6.4,5.2,26.3,3.6,23948,56173,41509,41509,20400,15648,10669,77.3,15.2,68.52,501,49.4,22.8,56.7
University of Vermont,VT,231174,1,New England Commission on Higher Education,3,4,Public,Northeast,City,44.477325,-73.196646,0.672,28,1280,0,10513,80.9,1.3,3.9,2.8,11.1,3,18877,31606,17740,41356,24910,16636,9791,79.6,15.1,74.95,2824,60.1,11.5,92.8
University of Alaska Fairbanks,AK,102614,1,Northwest Commission on Colleges and Universities,3,4,Public,West,Suburb,64.85756,-147.823146,0.767,21,1094,0,4910,49.5,2.8,7.3,2,38.6,40.3,9988,17168,6262,19183,7960,16935,9617,60.4,20.4,30.18,801,59.4,39.9,36
Yeshiva University,NY,197708,1,Middle States Commission on Higher Education,3,4,Private,Northeast,City,40.850605,-73.929873,0.6282,26,1272,0,2703,93.9,0,0.2,0,5.9,2.1,36306,58845,42000,42000,17638,17238,12238,49.7,16.4,81.63,339,51.6,14.4,63.6
Rocky Mountain College of Art and Design,CO,127945,1,Higher Learning Commission,3,4,Profit,West,City,39.74332,-105.069911,,,,0,852,60.3,5.9,10.7,2.9,20.2,20.9,23198,26983,17963,17963,16047,5275,5042,100,42.9,46.24,230,68.7,33.5,28.6
Rutgers University-New Brunswick,NJ,186380,1,Middle States Commission on Higher Education,3,4,Public,Northeast,City,40.498769,-74.446251,0.578,,1295,0,35296,38.8,7.2,13.2,26.7,14.2,4.8,20379,29550,14638,30579,13487,17364,11822,55,29.4,80.07,15172,55.4,34.6,43.4
The University of Texas at El Paso,TX,228796,1,Southern Association of Colleges and Schools Commission on Colleges,3,4,Public,West,City,31.77015,-106.504098,1,19,1011,0,21216,5.8,2.5,83.7,0.7,7.3,34,8135,16033,7851,21596,5847,7663,8902,69.8,56,40.64,4964,55.1,40.6,23.7
University of Washington-Bothell Campus,WA,377555,0,Northwest Commission on Colleges and Universities,3,4,Public,West,Suburb,47.759773,-122.191293,0.8011,23,1129,0,5329,38.5,6.5,9.6,27,18.4,13,8893,20639,10911,35475,3240,4972,10695,66.3,31.8,63.62,7629,57.5,32.7,39.2
University of Virginia-Main Campus,VA,234076,1,Southern Association of Colleges and Schools Commission on Colleges,3,4,Public,Southeast,Suburb,38.035665,-78.503428,0.2735,31,1415,0,16207,58.2,6.7,6.7,13.9,14.6,3.2,20547,31186,16853,47273,21020,19941,13819,94.2,12.5,94.58,3085,54.5,15.8,75.6
Crown College,MN,174862,1,Higher Learning Commission,3,4,Private,Midwest,Rural,44.885393,-93.743019,0.512,22,1066,0,853,72.5,8.4,6.6,6.9,5.6,23.6,22764,37926,25430,25430,12160,3257,4861,36.7,40.5,66.88,318,52.1,26.6,50.8
Metropolitan State University,MN,174020,1,Higher Learning Commission,3,4,Public,Midwest,City,44.957256,-93.074361,0.5554,,,0,7080,51,20.4,6.2,15,7.4,59.5,14814,20800,7859,14960,5121,5513,9068,24.7,42.3,27.45,2312,60.9,37.1,28.3
Buena Vista University,IA,153001,1,Higher Learning Commission,3,4,Private,Midwest,Town,42.642255,-95.208529,0.6385,22,1083,0,1692,79.2,3.2,4.7,1.1,11.9,13.5,19175,44645,32854,32854,12271,7587,7123,20.7,44.7,60.1,944,68.9,35.3,41
School of Visual Arts,NY,197151,1,Middle States Commission on Higher Education,3,4,Profit,Northeast,City,40.738809,-73.982359,0.7236,24,1139,0,3559,24.5,4.2,11.3,13.5,46.5,3.3,43387,56332,38000,38000,35172,16959,4401,18.4,20.6,64.07,696,66.4,25.5,47.8
Hardin-Simmons University,TX,225247,1,Southern Association of Colleges and Schools Commission on Colleges,3,4,Private,West,City,32.476434,-99.73564,0.8177,21,1074,0,1670,63.7,7.9,18.9,1.1,8.4,5.2,29845,36644,27440,27440,11279,9744,7155,59.8,34,51.02,481,53,31.5,53.3
Bemidji State University,MN,173124,1,Higher Learning Commission,3,4,Public,Midwest,Town,47.482341,-94.874119,0.662,22,1105,0,4399,84.2,2.3,2.5,1.1,9.9,24.9,15464,20013,8677,8677,5193,6526,8286,58.1,31.1,46.6,1274,59.8,27.3,57.9
The Art Institute of Austin,TX,451820,0,Southern Association of Colleges and Schools Commission on Colleges,3,3,Profit,West,City,30.479036,-97.675263,,,,0,638,34.5,22.3,35.1,1.7,6.4,24.9,24221,29528,17662,17662,10727,5088,4748,21.1,59,19.65,900,46.3,41.3,22.5
Ferrum College,VA,232089,1,Southern Association of Colleges and Schools Commission on Colleges,3,3,Private,Southeast,Rural,36.926912,-80.021639,0.7193,19,962,0,1122,49.6,33.7,5.2,0.8,10.8,1.1,24198,45325,33025,33025,14779,7267,5983,100,56.7,34.62,322,39.6,38.8,35.8
George Mason University,VA,232186,1,Southern Association of Colleges and Schools Commission on Colleges,3,4,Public,Southeast,Suburb,38.829976,-77.307428,0.8132,27,1210,0,24395,41.5,11.2,14.4,20.2,12.8,17.9,19779,25196,11924,34370,11746,12247,11045,51.7,28.4,70.86,6656,55.7,30,44.3
Lasell College,MA,166391,1,New England Commission on Higher Education,3,4,Private,Northeast,City,42.342148,-71.24347,0.8072,21,1069,0,1696,68.6,6.7,9.2,2.1,13.5,1.6,25743,50223,34600,34600,18950,7872,8197,36.3,30.6,54.13,623,66.7,28.8,73.1
Nebraska Christian College of Hope International University,NE,181376,0,Western Association of Schools and Colleges Senior Colleges and University Commi,3,3,Private,Midwest,Rural,41.12314,-96.09437,0.4416,19,989,0,146,67.1,8.2,13,1.4,10.3,1.4,17985,28800,16830,16830,9517,9789,5581,24,44.2,24.39,308,54.4,38.6,40.6
Palm Beach Atlantic University,FL,136330,1,Southern Association of Colleges and Schools Commission on Colleges,3,4,Private,Southeast,City,26.7044,-80.05247,0.9739,23,1115,0,2475,62.5,10.5,15.6,2,9.4,5.2,23891,43005,29950,29950,16432,8854,7607,100,27.6,53.05,626,67.8,22,52.8
University of Utah,UT,230764,1,Northwest Commission on Colleges and Universities,3,4,Public,West,City,40.762484,-111.846044,0.6615,26,1234,0,23402,68.6,1.4,12.8,5.8,11.4,23.8,13728,19406,8884,28127,11482,15420,9781,90.6,27.3,67.4,4859,50.6,29.4,38.6
