Sex,Age,Married,Income,HoursWk,Race,USCitizen,HealthInsurance,Language
0,63,0,53,40,white,1,1,1
0,51,1,24,35,white,1,1,1
1,60,0,22,39,other,1,0,1
1,42,1,50,40,white,0,0,0
1,40,0,1.3,3,other,1,0,1
0,63,0,0,0,black,1,1,1
1,18,0,1,4,white,1,1,1
0,66,1,0,0,white,1,1,1
1,18,0,0,0,white,1,0,0
0,83,0,0,0,white,1,1,1
1,22,0,0,0,other,1,1,0
0,57,0,43,40,white,1,1,1
0,62,1,0,0,white,1,1,1
1,70,1,44.2,45,white,1,1,1
0,23,0,17,30,other,1,1,0
1,28,1,28,40,other,1,1,1
1,51,1,0,0,white,1,1,1
1,21,0,19,40,white,1,1,1
1,62,1,62,45,white,1,1,1
1,32,0,0,0,other,1,1,1
1,67,1,0,0,black,1,1,1
0,68,0,65,40,black,1,1,1
1,46,0,2.4,35,black,1,0,1
1,68,1,0,0,white,1,1,1
0,35,1,4.1,10,white,1,1,1
0,42,1,0,0,white,0,0,0
0,34,0,23,40,white,1,1,1
0,83,0,0,0,white,1,1,1
1,61,1,8.4,15,black,1,1,1
1,16,0,44,41,white,1,1,1
1,29,0,125,40,asian,0,1,0
0,44,1,38,45,black,1,1,1
1,38,1,80,40,white,1,1,1
1,42,0,36,50,white,1,1,0
0,42,1,20,40,white,0,0,0
0,69,1,0,0,white,1,1,1
1,58,1,15,40,white,1,0,0
0,33,1,40,40,white,1,1,1
1,56,1,114,40,white,1,1,1
0,24,0,8,12,white,1,1,1
0,48,0,58,40,white,1,1,1
0,31,0,0.5,8,white,1,1,1
0,68,1,19.4,34,white,1,1,1
0,72,1,0,0,white,1,1,1
0,18,0,0,0,white,1,1,1
1,62,1,0,0,asian,1,1,1
0,59,1,17,40,white,1,1,1
0,66,1,36,60,white,1,1,1
0,43,0,168,45,white,1,1,1
1,19,0,6,6,white,1,1,1
0,47,0,28,34,white,1,1,1
0,34,0,0,8,white,1,1,1
0,24,0,3.6,28,black,0,1,1
1,62,1,24,40,white,1,1,1
0,69,1,0,0,white,1,1,1
1,54,1,58,40,black,1,1,1
0,70,1,0,0,white,1,1,1
1,69,1,0,0,white,1,1,1
1,59,1,125,40,white,1,1,1
1,16,0,0,0,white,1,1,1
0,61,1,0,0,white,1,1,1
1,41,1,103,50,white,1,1,1
0,24,0,4,40,white,0,1,0
0,27,0,30,40,white,1,1,1
1,41,0,5.6,58,black,1,0,1
1,52,0,60,45,white,1,1,1
0,24,0,36,40,white,1,1,1
1,69,1,0,0,other,1,1,1
0,57,1,0,0,white,1,1,0
1,58,1,24,40,white,1,1,1
1,30,1,0,40,other,1,1,1
1,26,1,35,60,white,1,1,1
1,76,0,0,0,white,1,1,1
0,52,0,0,0,white,1,1,1
1,56,1,133,50,white,1,1,1
0,72,1,0,0,white,1,1,1
1,51,1,62,50,white,1,1,1
0,70,1,0,0,white,1,1,1
1,39,1,0,40,white,1,1,1
0,22,0,9.9,20,white,1,1,1
0,22,0,20,40,black,1,0,1
1,57,1,70,50,white,1,1,1
1,56,1,56,40,white,1,1,1
1,73,1,0,0,white,1,1,1
1,67,1,65,40,white,1,1,0
0,64,1,60,40,white,1,1,1
0,44,1,75,45,white,1,1,1
1,18,0,6,20,black,1,1,1
1,74,1,0,0,black,1,1,1
0,80,0,0,0,asian,1,1,1
0,21,0,10,20,white,1,1,1
0,22,1,0,0,asian,1,1,0
0,50,1,8.1,40,asian,1,0,0
1,59,0,19,40,other,1,1,1
0,20,0,0,0,black,1,1,1
1,53,0,0,0,black,1,0,1
0,94,0,0,0,white,1,1,1
1,18,0,0,0,asian,1,1,0
0,69,0,30,40,black,1,1,1
0,27,1,0,25,black,1,1,1
0,82,0,0,0,white,1,1,1
1,74,1,0,0,white,1,1,0
0,37,1,10,20,other,1,1,1
0,49,0,65,80,white,1,1,1
0,64,0,0,0,other,0,1,0
0,63,1,0,0,white,1,1,1
0,44,1,25,28,white,1,1,1
1,59,0,19.6,40,white,1,1,1
0,93,0,0,0,white,1,1,1
1,30,0,45,40,white,1,1,1
1,33,1,57,40,black,1,1,1
0,19,0,4.5,20,white,1,1,1
1,37,1,37,45,white,1,1,1
0,16,0,0,0,other,1,1,1
1,56,1,36,40,white,1,1,0
1,77,1,0,0,white,1,1,1
1,30,0,23,35,white,1,1,1
1,56,1,0,0,white,1,1,1
0,66,1,0,0,white,1,1,1
1,63,1,56,40,white,1,1,1
0,26,0,0,0,black,1,0,1
0,60,1,0,0,white,1,1,1
0,24,0,30,35,black,1,1,0
0,20,0,4.9,40,white,1,1,0
1,59,1,0,0,white,1,1,1
0,66,0,0,0,white,1,1,0
0,49,1,60,40,white,1,1,1
1,58,0,2.8,30,black,1,1,1
0,47,0,35,50,black,1,1,1
1,73,1,100,50,white,1,1,1
1,61,1,0,28,white,0,0,0
1,50,1,0,50,white,1,0,1
0,54,0,0,0,white,1,1,1
1,70,1,0,0,other,1,1,0
0,26,0,57,45,black,1,1,1
0,52,1,0,0,other,1,1,0
0,82,0,0,0,white,1,1,0
1,33,1,0,0,other,0,1,1
0,51,1,50,40,white,1,1,1
0,20,0,2.8,35,white,1,1,1
0,76,0,0,0,black,1,1,1
1,38,1,70,40,white,1,1,1
0,81,1,0,0,white,1,1,1
1,38,1,45,70,white,1,1,1
0,74,0,0,0,black,1,1,1
0,94,0,0,0,white,1,1,1
1,58,1,0,40,white,1,1,1
0,93,0,0,0,white,1,1,1
0,52,1,32,40,black,1,0,1
0,51,1,139,48,white,1,1,1
0,58,1,16,25,white,1,1,1
0,52,1,18,40,white,1,1,1
0,58,1,75,40,white,1,1,1
1,20,0,0,0,white,1,1,1
0,21,0,0,0,black,1,1,1
0,57,0,40,40,black,1,1,1
0,54,1,52,40,white,1,1,1
0,59,0,30,42,white,1,1,1
0,77,0,0,0,white,1,1,1
0,79,0,0,0,black,1,1,1
0,76,1,0,0,white,1,1,1
0,20,0,1,25,white,1,1,1
1,26,0,5,50,white,1,1,1
0,66,1,34,40,white,1,1,1
0,72,0,0,0,black,1,1,1
0,81,0,0,0,white,1,1,1
0,53,1,125,70,white,1,1,1
0,64,0,0,0,white,0,0,0
0,35,0,40,40,white,1,1,1
1,47,1,110,40,asian,1,1,1
0,64,1,78,40,asian,1,1,0
1,55,0,0,20,other,0,1,0
0,54,1,60,36,black,1,1,1
0,55,1,65,40,white,1,1,1
1,46,1,36,40,asian,1,1,0
0,59,1,6.6,20,white,1,1,1
0,64,0,72,45,white,1,1,1
1,54,1,85,50,white,1,1,1
1,30,0,40,40,white,1,1,1
0,50,0,90,40,white,1,1,1
1,78,1,0,0,white,1,1,1
1,35,0,0,40,white,1,1,1
1,29,1,10,35,white,0,0,0
1,45,1,38,55,asian,0,1,0
1,55,0,30,40,white,1,1,1
1,39,1,93,40,white,1,1,1
1,81,1,0,0,white,1,1,1
0,61,1,26.3,20,white,1,1,1
0,50,1,125,60,white,1,1,1
1,24,0,5.2,45,asian,1,1,0
0,16,0,2.5,20,white,1,1,1
0,51,0,16.9,32,white,1,1,1
0,51,1,0,0,white,1,0,1
0,71,1,0,0,white,1,1,1
1,40,1,1.3,40,white,1,1,1
0,76,1,0,0,white,1,1,1
0,69,1,3.1,40,white,1,1,1
0,34,1,39.2,40,white,1,1,1
0,33,0,0,0,black,1,1,1
0,18,0,5.2,9,white,1,1,0
1,70,0,0,0,white,1,1,1
0,35,0,29,40,white,1,1,0
1,45,1,30,35,white,1,1,1
0,46,1,86,50,white,1,1,1
0,19,0,15,35,white,1,1,0
1,56,1,13.1,40,white,1,0,1
1,45,1,20,16,asian,1,1,0
0,62,1,0,0,white,1,1,1
1,16,0,0,0,black,1,1,1
1,50,0,45,40,white,1,1,0
0,61,0,0,0,white,1,1,1
1,23,0,0,0,white,0,0,0
0,50,1,0,0,white,1,1,1
1,20,0,0,0,black,1,1,1
1,64,1,45,40,white,1,1,1
1,41,0,13.4,35,white,0,1,0
0,72,1,0,0,white,1,1,1
0,16,0,0,0,white,1,1,1
0,50,1,0,40,other,1,1,0
0,34,0,70,40,white,1,1,1
0,57,1,0,0,white,1,1,1
0,20,0,2,40,white,1,1,1
0,47,1,30,40,asian,1,1,0
1,62,0,26.3,40,other,1,1,1
1,72,1,0,0,white,1,1,1
1,18,0,0,0,white,1,1,1
0,68,1,0,0,white,1,1,1
1,31,1,54,40,white,1,1,1
1,24,0,7,15,other,1,1,0
1,46,1,20,40,white,1,1,1
1,63,1,30,50,white,1,1,1
1,50,1,110,60,white,1,1,1
1,35,0,0,0,white,1,1,1
1,59,1,50,40,white,1,1,1
1,45,1,50,32,white,1,1,1
1,47,0,425,45,white,0,0,1
0,64,0,0,0,black,1,1,1
0,81,1,0,0,white,1,1,1
0,61,1,62,40,white,1,1,1
0,31,1,92,42,white,1,1,1
1,31,1,24,40,asian,0,1,0
0,34,1,60,40,white,1,1,1
1,50,0,0,0,white,1,1,1
1,38,1,80,40,white,1,1,1
0,69,1,0,0,white,1,1,1
0,64,0,0,0,white,1,0,1
0,44,0,60,50,black,1,1,1
0,37,1,0,0,other,1,0,1
1,71,1,0,0,white,1,1,1
1,34,0,10.4,24,black,1,0,0
1,38,1,120,48,white,1,1,1
1,16,0,0,0,white,1,1,1
1,31,1,0,0,black,1,1,1
1,16,0,0.5,15,white,1,1,1
0,18,0,9,30,white,1,1,1
0,50,1,12,28,asian,1,1,0
1,52,0,30,80,black,1,0,1
0,26,0,40,40,white,1,1,1
0,81,0,0,0,white,1,1,1
0,36,1,5,16,white,1,1,1
0,74,0,0,0,white,1,1,1
0,19,0,0,0,asian,0,1,0
1,28,1,2,24,white,1,1,1
0,50,0,0,0,white,1,1,1
0,40,1,487,50,asian,1,1,1
0,40,0,0,0,white,1,0,1
1,52,1,60,42,asian,1,1,1
1,19,0,25,40,white,1,1,1
0,72,0,0,0,black,1,1,1
0,59,1,34,40,white,1,1,1
0,68,0,0,0,white,1,1,1
0,43,0,38,40,white,1,0,1
1,68,1,0,0,white,1,1,1
1,46,0,50,45,white,1,1,1
0,68,0,0,0,white,1,1,1
1,34,1,85,54,white,0,1,1
1,74,1,0,0,white,1,1,1
1,38,0,0,0,white,1,0,1
1,72,0,0,0,white,1,1,1
0,42,0,150,40,asian,1,1,0
1,44,1,0,0,white,1,0,0
1,62,0,180,50,white,1,1,1
1,74,1,6.5,20,white,1,1,1
0,84,0,0,0,white,1,1,1
0,39,1,5,8,white,1,1,1
1,23,0,23,40,asian,1,1,1
1,19,0,16.9,50,white,1,1,1
1,44,0,20,40,white,1,1,1
0,47,1,0,0,white,1,1,1
0,55,1,20,25,white,1,1,1
0,27,0,61,45,asian,1,1,1
0,57,1,0,0,white,1,1,1
1,60,0,0,0,white,1,1,1
1,35,1,25,55,white,1,1,1
0,62,0,70,40,black,1,1,1
1,36,0,87,40,white,1,1,1
1,18,0,0,0,white,1,1,1
1,42,0,70,40,white,1,1,0
1,68,1,20.8,50,white,1,1,1
1,91,1,0,0,white,1,1,1
1,32,1,74,40,white,1,1,1
0,48,1,4.6,4,white,1,1,1
0,68,1,26,40,white,1,1,1
1,35,0,88,35,asian,1,1,1
1,33,1,60,76,white,0,0,0
0,69,1,54,40,white,1,1,1
0,44,1,0,0,white,1,1,1
0,70,0,0,0,white,1,1,1
0,42,0,69,45,white,1,1,1
0,69,1,40,40,white,1,1,0
1,38,1,50,40,asian,1,1,0
1,24,0,20,60,asian,0,1,0
1,85,0,0,0,white,1,1,0
0,54,0,20,15,black,1,1,1
0,57,1,18,36,white,1,1,1
1,44,0,62,48,white,1,1,1
0,55,0,32,40,white,1,1,1
1,49,1,70,60,white,1,1,1
0,74,1,0,0,white,1,1,1
1,32,0,16.4,29,white,1,1,1
0,94,0,0,0,white,1,1,1
1,32,0,12,40,white,1,0,1
1,16,0,0,0,white,1,1,0
0,63,1,0,0,white,1,1,1
0,17,0,0,0,white,1,1,1
0,53,0,0,0,white,1,1,1
0,64,1,0,0,white,1,1,1
0,19,0,6,15,white,1,1,1
0,48,0,5,25,white,1,1,1
0,84,0,0,0,white,1,1,1
1,32,0,0,0,white,1,0,1
1,74,0,0,0,black,1,1,1
0,60,1,56,32,white,1,1,1
0,74,0,0,0,white,1,1,0
1,76,1,0,0,white,1,1,1
0,17,0,0.2,10,black,1,1,1
1,52,0,0,0,other,0,0,0
0,57,1,75,40,white,1,1,1
0,21,0,0,0,white,1,1,0
1,74,1,0,0,white,1,1,1
1,80,1,0,0,white,1,1,0
1,62,1,65,40,white,1,1,1
0,17,0,0,0,white,1,1,1
1,42,1,57,40,black,1,1,1
1,30,0,20,40,other,1,1,0
0,58,1,97,52,white,1,1,0
0,56,0,0,0,black,1,1,0
0,59,1,15,37,white,1,1,1
0,19,0,0,0,white,1,1,1
0,69,0,0,0,black,1,1,1
0,18,0,0,0,white,1,1,1
0,65,0,0,0,white,1,1,1
1,46,0,50,40,other,0,1,0
0,25,0,30,40,asian,0,1,0
1,17,0,0,0,white,1,0,1
1,58,1,0,0,white,1,1,1
1,31,0,16,40,other,1,0,0
1,42,1,0,0,white,1,1,1
0,39,1,105,50,asian,1,1,0
1,46,1,41,40,white,1,1,1
0,35,1,0,0,white,1,1,1
0,21,0,30,40,white,1,0,1
1,36,1,53,50,white,1,1,1
0,50,0,66,40,white,1,1,1
1,18,0,9.8,22,white,0,0,0
0,19,0,0,0,white,1,1,0
1,50,1,130,50,white,1,1,1
1,34,0,5,80,white,1,1,0
0,54,1,0,0,white,1,1,1
0,44,1,65,40,white,1,1,1
0,43,1,17,20,white,1,1,1
0,34,1,25,40,white,1,1,1
1,45,0,18,40,white,1,0,0
1,67,0,4,11,white,1,1,1
0,67,1,1.2,3,white,1,1,1
0,52,1,9.6,40,other,1,0,0
0,73,0,0,0,white,1,1,0
0,64,0,0.5,4,black,1,1,1
0,61,1,25,25,white,1,1,1
0,36,1,0,0,white,1,1,0
0,72,1,0,0,asian,1,1,1
1,28,0,4.3,25,other,1,1,0
1,18,0,0,0,white,1,1,1
0,66,1,6,16,white,1,1,1
0,56,0,12,25,white,1,1,1
0,58,0,48,40,white,1,0,1
1,94,0,0,0,white,1,1,1
1,41,1,0,45,white,1,1,1
1,17,0,0,0,white,1,1,0
1,34,0,120,40,white,1,1,0
1,56,0,0,4,white,1,1,1
1,57,1,463,40,white,1,1,0
1,53,1,49.6,40,black,1,1,1
1,44,0,16,40,white,1,0,1
0,39,0,6,20,white,1,1,0
1,60,0,16,32,white,1,1,1
1,58,1,45,55,white,1,1,1
1,71,1,24,30,white,1,1,1
0,62,1,90,45,asian,1,1,1
0,94,0,0,0,black,1,1,1
0,53,1,50,40,white,1,1,1
0,66,0,0,0,black,1,1,1
1,67,1,0,0,asian,1,1,0
1,58,1,0,0,white,1,1,1
0,60,0,50,30,white,1,1,1
1,35,1,99,40,white,1,1,0
0,74,0,0,0,white,1,1,1
0,66,1,0,0,white,1,1,1
0,27,0,30,40,white,0,1,0
1,37,0,140,15,white,1,1,1
0,48,0,35,70,white,1,1,1
1,79,1,0,0,white,1,1,1
1,42,1,64,40,white,1,1,1
1,70,1,0,0,asian,1,1,0
1,73,1,4,30,white,1,1,1
1,60,1,61,40,white,1,1,1
0,30,1,3.4,30,black,0,1,1
0,55,1,60,40,other,1,1,1
0,52,0,22,30,white,1,1,1
0,63,1,0,0,white,1,1,1
0,30,1,20,40,white,1,1,0
1,30,1,46,40,white,1,1,1
0,37,0,0,50,white,1,1,1
1,49,1,100,50,white,1,1,1
0,73,0,0,0,other,1,1,1
0,95,0,0,0,white,0,1,1
1,30,0,0,0,black,1,1,1
0,57,1,73,38,white,1,1,1
1,35,1,48,50,white,1,1,1
0,20,0,3.6,18,white,1,1,1
0,43,1,40,32,white,1,1,1
1,73,1,0,0,white,1,1,0
0,22,0,15,51,white,1,1,1
0,74,1,17.9,35,asian,1,1,0
0,56,1,40,40,white,1,1,1
0,25,0,34.5,40,white,1,1,1
1,84,1,0,0,white,1,1,1
0,33,0,17.3,25,black,1,1,1
0,72,1,0,0,white,0,1,0
0,36,1,93,50,black,1,1,1
0,32,0,72,40,white,1,1,1
1,22,0,35,40,white,1,1,1
0,72,0,0,0,white,1,1,1
1,69,1,0,0,white,1,1,1
1,24,0,0,0,white,1,0,1
0,64,1,40,40,white,1,1,1
1,35,1,115,45,white,1,1,1
0,45,0,57,40,white,1,1,1
0,71,0,425,37,white,1,1,1
0,51,1,43.6,45,white,1,1,1
1,64,1,85,50,white,1,1,1
1,84,1,7,40,white,1,1,1
1,64,0,100,30,black,1,1,1
0,36,0,45,37,white,1,1,1
0,52,0,86,40,white,1,1,1
0,67,0,122,40,white,0,1,0
0,32,1,0,0,white,1,0,1
0,80,0,0,0,white,1,1,1
1,26,0,0,0,black,1,1,1
1,31,1,51,40,white,1,1,1
0,32,0,85,40,white,1,1,1
0,75,1,0,0,white,1,1,1
0,70,0,0,0,white,1,1,1
1,60,0,0,0,white,1,1,1
1,50,1,0,0,white,1,0,1
1,29,0,16.9,40,black,1,1,0
0,22,0,9,40,white,1,1,1
0,75,0,0,0,white,1,1,1
1,16,0,0,0,black,1,1,0
1,64,0,311,40,white,0,1,0
1,61,1,0,0,white,1,1,1
0,57,0,0,0,asian,0,0,0
1,29,0,25,45,white,0,0,0
1,42,1,37,40,other,1,1,0
1,55,1,19,40,white,1,1,1
1,52,0,0,40,white,1,1,1
1,59,1,0,0,white,1,1,1
0,74,1,0,0,white,1,1,1
1,81,1,0,0,white,1,1,1
0,28,0,6.6,30,white,1,1,1
1,45,1,45.6,50,white,1,1,1
1,55,1,108,40,white,1,1,1
0,54,0,12,40,black,1,1,1
0,39,1,0,20,asian,0,1,0
1,74,1,0,0,white,1,1,1
1,61,0,4.8,40,black,1,1,1
0,45,0,49.4,30,white,1,1,0
0,64,0,65,40,white,1,0,1
1,24,0,25,50,white,1,1,1
1,20,0,7.2,20,white,1,1,1
0,47,0,85,40,other,1,1,1
0,48,0,52,43,other,1,1,1
1,24,0,22,40,white,1,1,1
1,49,0,0,0,white,1,1,1
0,70,0,0,0,white,1,1,1
1,19,0,1,22,white,1,1,1
0,37,1,80,40,white,1,1,0
0,73,0,2.5,2,white,1,1,1
1,41,1,170,40,asian,1,1,0
0,29,0,0,0,white,1,1,1
1,21,0,18,32,white,1,1,1
0,19,0,0,0,white,1,1,1
1,54,0,0,0,black,1,0,1
0,53,1,21,35,white,1,1,1
1,66,1,10,30,white,1,1,0
1,54,0,100,40,white,1,1,1
0,38,0,50,30,white,1,1,1
1,51,1,40,40,white,1,1,1
1,48,1,108,46,white,1,1,1
0,66,1,42.2,40,white,1,1,1
0,28,0,36,35,other,1,1,0
1,28,0,30,40,white,1,1,1
1,81,1,0,0,white,0,0,0
0,55,0,24,40,white,1,1,1
1,73,1,0,0,white,1,1,1
1,50,1,47,48,black,1,1,1
0,55,1,61,40,white,1,1,1
0,43,0,5,50,white,1,0,1
1,64,1,84,40,white,1,1,1
1,49,1,0,0,white,1,1,1
1,52,1,15,40,white,1,1,1
0,31,0,0,0,other,1,1,0
1,17,0,0,0,white,1,1,0
0,25,0,24,25,other,1,1,1
1,64,1,45,40,white,1,1,1
1,25,0,28,50,white,1,1,1
0,35,1,26,45,other,1,1,1
1,46,0,26,48,white,0,0,0
1,55,1,152,40,white,1,1,1
0,38,1,18,40,white,0,0,0
0,36,1,15,35,white,1,0,0
0,67,1,10.4,40,white,1,1,1
1,40,1,112,50,white,1,1,0
1,30,0,0,42,white,1,1,1
0,23,1,0,0,black,1,0,1
0,49,1,2.2,32,white,1,1,1
1,27,1,42.7,40,white,1,1,1
1,28,1,13,40,white,1,1,1
0,24,1,0,0,white,1,1,1
1,78,1,17.9,40,white,1,1,1
0,56,1,30,40,white,1,1,1
0,89,0,0,0,white,1,1,1
0,39,1,105,45,white,1,1,1
1,68,1,5,40,white,1,1,0
1,30,0,40,40,white,1,0,1
0,40,0,120,50,white,1,1,1
0,42,1,72,50,white,1,1,1
1,55,1,63,40,white,1,1,1
0,45,1,40,43,white,1,1,1
0,32,1,0,0,white,1,1,0
1,63,1,0,0,white,1,1,1
1,70,1,0,0,white,1,1,1
1,37,1,24,40,asian,1,1,0
0,24,0,28,40,white,1,1,1
0,50,1,6,4,white,1,1,1
0,40,1,0,0,white,1,0,0
1,23,0,12,30,white,1,1,1
1,84,1,0,0,white,1,1,1
0,29,1,28,35,white,1,1,1
1,74,1,0,0,white,1,1,0
0,36,1,60,40,white,0,1,0
1,35,1,44,50,white,1,1,1
0,68,0,0,0,white,1,1,1
0,76,1,0,0,white,1,1,1
1,31,0,45,40,white,1,1,1
1,27,1,0,60,white,1,0,1
1,24,0,54,60,white,1,1,1
1,65,1,0,0,white,1,1,1
1,47,1,98,55,white,1,1,1
1,46,1,90,50,white,1,1,1
1,72,1,0,0,white,1,1,1
0,77,1,0,0,white,1,1,1
1,65,1,0,40,white,1,1,1
0,72,0,0,0,white,1,1,1
1,53,1,25,50,asian,1,1,0
1,19,0,0,0,asian,1,1,0
0,35,1,0,0,white,1,1,1
0,29,0,11,22,white,1,1,1
0,81,0,0,0,white,1,1,1
1,48,0,19,20,white,1,1,1
1,46,0,0,0,black,1,1,1
1,52,1,36,40,white,1,1,0
0,17,0,0,0,other,1,1,0
1,38,1,89,50,white,1,1,1
1,85,1,0,0,white,0,1,1
0,75,1,0,0,black,1,1,1
0,31,1,0,0,white,1,1,1
1,46,1,40,45,black,1,1,1
0,34,1,36.5,40,white,1,1,1
0,43,1,0,0,white,1,1,1
1,69,1,0,0,white,1,1,1
0,82,0,0,0,white,0,1,0
1,29,1,50,40,white,1,1,1
0,34,0,24.4,39,white,1,0,1
1,87,1,0,0,black,1,1,1
0,57,0,0,0,white,1,0,1
1,29,1,20,40,white,1,1,0
0,67,1,0,0,white,1,1,1
0,29,1,36,50,white,1,1,0
0,22,0,0,14,asian,0,1,0
