Name,State,ID,Main,Accred,MainDegree,HighDegree,Control,Region,Locale,Latitude,Longitude,AdmitRate,MidACT,AvgSAT,Online,Enrollment,White,Black,Hispanic,Asian,Other,PartTime,NetPrice,Cost,TuitionIn,TuitonOut,TuitionFTE,InstructFTE,FacSalary,FullTimeFac,Pell,CompRate,Debt,Female,FirstGen,MedIncome
Kansas City Kansas Community College,KS,155292,1,Higher Learning Commission,1,2,Public,Midwest,City,39.121911,-94.748061,,,,0,4088,43.2,23.4,18.1,4,11.3,55.3,15860,18372,3248,8048,2954,8533,6788,100,37.6,26.94,558,62.5,51,21.8
Missouri State University-West Plains,MO,179344,1,Higher Learning Commission,2,2,Public,Midwest,Town,36.729574,-91.857838,,,,0,1229,83.8,5.7,2.4,0.7,7.4,30.3,6962,12502,4230,7950,1403,4008,5423,100,45.8,20.53,156,62.9,48.8,23.4
Eastern Oklahoma State College,OK,207050,1,Higher Learning Commission,2,2,Public,West,Town,34.914079,-95.328995,,,,0,1049,52.7,3.3,4.7,0.8,38.5,37.9,6117,10482,4572,8189,2900,7176,4234,52.9,52.7,23.88,91,66.9,52.6,22
Salter School of Nursing and Allied Health,NH,460570,0,Accrediting Council for Continuing Education & Training,1,1,Profit,Northeast,City,42.997765,-71.468655,,,,0,113,84.1,7.1,4.4,4.4,0,8,32951,35298,23175,23175,18616,7143,,,58.7,73.78,1200,85.3,57.6,14.2
Southern Adventist University,TN,221661,1,Southern Association of Colleges and Schools Commission on Colleges,3,4,Private,Southeast,Suburb,35.048254,-85.052088,,,,0,2486,45.3,10.5,23,10.5,10.7,12.6,20762,32129,21550,21550,14777,10448,4707,100,34.8,52.35,688,59.3,18.2,50.9
South Texas Training Center,TX,455974,1,Council on Occupational Education,1,1,Profit,West,Suburb,26.156604,-97.652989,,,,0,170,0,0,100,0,0,0,8220,12220,10695,10695,24913,9997,,,74.5,80.56,336,87.4,71.2,14.2
University of Dayton,OH,202480,1,Higher Learning Commission,3,4,Private,Midwest,City,39.739547,-84.176113,0.7168,27,1254,0,8422,79.3,2.8,5.2,1.4,11.4,4.2,32721,56370,41750,41750,19321,12533,8687,61.7,10.7,78.68,2080,52,10.2,114.5
Marymount University,VA,232706,1,Southern Association of Colleges and Schools Commission on Colleges,3,4,Private,Southeast,City,38.905562,-77.128785,0.9226,22,1058,0,2241,35.4,14.8,17.5,7.5,24.9,7.9,24314,44561,30876,30876,21098,10520,8399,44,26.1,53.48,733,70.3,29.8,46.4
Grayson College,TX,225070,1,Southern Association of Colleges and Schools Commission on Colleges,2,2,Public,West,Rural,33.70574,-96.633891,,,,0,3051,67.6,8.4,14.2,1.4,8.4,51.4,8044,13648,1992,4008,1666,6305,5745,49.8,35.2,22.79,482,59.7,50.2,23.2
Ross Medical Education Center-Portage,MI,456515,0,Accrediting Bureau of Health Education Schools,1,1,Profit,Midwest,City,42.226492,-85.588652,,,,0,135,80,10.4,4.4,0,5.2,0,20862,24015,15740,15740,8277,1737,,,58.3,76.53,1699,94.1,52.7,16.1
Red River Technology Center,OK,250993,1,Oklahoma State Board of Career and Technology Education,1,1,Public,West,Town,34.491393,-97.99029,,,,0,526,71.1,1.9,7.8,0,19.2,80.4,4031,11206,2625,2625,1516,4109,,,18.8,59.26,,49,71.9,13.3
Hawaii Community College,HI,383190,1,Western Association of Schools and Colleges Accrediting Commission for Community,2,2,Public,West,Town,19.704756,-155.069653,,,,0,2173,13.6,0.6,15.8,17.4,52.7,47.7,11715,16783,3084,8220,2341,11306,7909,52.5,35.2,21.39,118,57.3,48.4,14.7
Austin College,TX,222983,1,Southern Association of Colleges and Schools Commission on Colleges,3,4,Private,West,City,33.646345,-96.596331,0.5216,26,1255,0,1214,49.4,8.5,21.3,13.3,7.5,0.8,21008,51700,38800,38800,12053,10915,7260,100,31.1,67.32,308,50.5,23.4,54.8
Ulster County Community College,NY,196699,1,Middle States Commission on Higher Education,2,2,Public,Northeast,Rural,41.851218,-74.128698,,,,0,1981,67.7,8,15,1.6,7.7,35.3,3788,10604,5354,9834,3380,8396,6060,59.4,24.6,31.86,252,60.1,46.9,24.3
Kaskaskia College,IL,146366,1,Higher Learning Commission,2,2,Public,Midwest,Rural,38.562112,-89.191974,,,,0,1847,91.2,4.6,1.4,0.6,2.2,37,6074,10409,4470,12330,2345,7071,8521,42.4,25.5,30.38,55,65.6,43.5,20.7
Independence Community College,KS,155201,1,Higher Learning Commission,2,2,Public,Midwest,Town,37.195614,-95.720518,,,,0,577,52.9,25.3,4,0.5,17.3,13,5364,10168,3904,4320,1794,5052,5519,100,34.8,21.67,107,37.5,38.5,25.4
Platt College-Arizona Automotive Institute Arizona,AZ,103963,0,Accrediting Commission of Career Schools and Colleges,1,1,Profit,West,Suburb,33.537249,-112.157344,,,,0,785,35.5,9.9,35.9,0.9,17.7,0,28928,34050,19220,19220,17041,5788,,,79.6,60.85,10482,51.1,58.6,16.3
Tricoci University of Beauty Culture-Chicago NW,IL,454971,1,National Accrediting Commission of Career Arts and Sciences,1,1,Profit,Midwest,City,41.97766,-87.806767,,,,0,206,41.3,21.8,30.6,2.4,3.9,44.2,14023,20468,19982,19982,10907,4285,,,68.1,54.29,249,90.2,51.7,16
Community College of Vermont,VT,230861,1,New England Commission on Higher Education,2,2,Public,Northeast,Rural,44.280811,-72.573774,,,,0,3874,82.3,2.2,3.2,1.3,11.1,79.7,11012,15706,6414,12678,5335,3278,,,30.3,21.37,323,68.1,50.7,23
Great Basin College,NV,182306,1,Northwest Commission on Colleges and Universities,1,3,Public,West,Town,40.84343,-115.767274,,,,0,1981,61.9,2.4,19.9,2,13.7,61.5,10520,14477,3015,9793,2667,7364,7773,36.5,17.6,27.78,160,66.3,52.4,22.8
Miami University-Hamilton,OH,204006,0,Higher Learning Commission,3,3,Public,Midwest,Suburb,39.377448,-84.563385,,,,0,2545,77.8,10.2,3.9,1.8,6.2,30.3,10836,13463,5173,15228,6283,6313,6980,98.9,37.2,25.52,3979,54.2,22.9,79.8
Tennessee College of Applied Technology-Morristown,TN,221050,1,Council on Occupational Education,1,1,Public,Southeast,City,36.204643,-83.299503,,,,0,671,91.5,1.5,4.9,0.3,1.8,23.1,10512,15836,4990,4990,865,7242,,,48.2,69.79,,37.4,64.2,16.8
University of Mary,ND,200217,1,Higher Learning Commission,3,4,Private,Midwest,Rural,46.723767,-100.75274,0.7635,24,1160,0,2064,79.8,1.8,3.4,1.4,13.5,13.1,17342,27400,18224,18224,15559,7782,6690,92.6,18.8,53.74,759,65.1,17.9,77.9
University of California-Davis,CA,110644,1,Western Association of Schools and Colleges Senior Colleges and University Commi,3,4,Public,West,Suburb,38.539667,-121.749567,0.4336,29,1286,0,30046,25.2,2.2,21.4,28.4,22.8,2.6,15737,34435,14419,42433,15911,25752,14048,84,38.5,85.19,7155,62.7,40.8,33.8
Indiana University-Purdue University-Indianapolis,IN,151111,1,Higher Learning Commission,3,4,Public,Midwest,City,39.772948,-86.172217,0.7965,23,1104,0,20870,69.6,9.4,7.5,4.3,9.2,16.5,12021,20352,9334,29806,11325,16407,8369,56.7,36.4,44.99,5640,61,35.1,45
Florida School of Massage,FL,134024,1,Commission on Massage Therapy Accreditation,1,1,Profit,Southeast,Rural,29.593428,-82.338273,,,,0,79,65.8,13.9,5.1,3.8,11.4,19,17264,20314,11200,11200,16204,3196,,,60.1,73.68,140,68.8,39.8,17.1
Kent State University at Salem,OH,203492,0,Higher Learning Commission,2,3,Public,Midwest,Rural,40.86408,-80.835458,,,,0,1403,87,4.2,1.9,0.9,6.1,66.4,10053,13075,5664,14196,6269,8500,7459,35.9,43,27.98,9298,63.6,35.9,50.4
Hillsborough Community College,FL,134495,1,Southern Association of Colleges and Schools Commission on Colleges,2,2,Public,Southeast,City,27.934888,-82.456253,,,,0,23235,34.7,18.3,31.8,2.8,12.4,54.6,5421,9568,2506,9111,2278,3512,6564,25.1,38.9,29.77,2316,60.5,46.3,22.1
Aveda Institute-Des Moines,IA,475015,1,National Accrediting Commission of Career Arts and Sciences,1,1,Profit,Midwest,City,41.562675,-93.802586,,,,0,138,73.9,3.6,5.8,2.9,13.8,0,13696,17500,21100,21100,10181,3427,,,37.9,75,161,,37,37.3
Erskine College,SC,217998,1,Southern Association of Colleges and Schools Commission on Colleges,3,4,Private,Southeast,Rural,34.332087,-82.39095,0.5452,22,1061,0,575,57.2,10.4,2.6,1.9,27.8,1.2,33408,50824,34560,34560,9312,6418,4784,100,39.9,59.51,123,44.6,22.3,61
Menlo College,CA,118693,1,Western Association of Schools and Colleges Senior Colleges and University Commi,3,3,Private,West,Suburb,37.453475,-122.190797,0.4299,22,1086,0,726,23.8,7.9,24.7,8.8,34.8,2.2,28639,57159,41350,41350,20522,8413,11342,23.2,10.7,52.82,202,50.9,40.1,49.6
Spartan College of Aeronautics and Technology,OK,207254,1,Accrediting Commission of Career Schools and Colleges,1,3,Profit,West,City,36.176642,-95.878902,,,,0,1127,43.6,5.9,14.8,5.1,30.7,0,23798,27642,17975,17975,22357,10573,4954,86,17.8,25,783,12.4,49.5,26.9
California State University-Long Beach,CA,110583,1,Western Association of Schools and Colleges Senior Colleges and University Commi,3,4,Public,West,City,33.782818,-118.11204,0.2799,23,1130,0,31402,17.2,3.9,41.8,22.3,14.8,12.8,9423,18104,6730,18610,4920,7624,9865,49.6,50.8,68.74,9116,59,48.6,26.5
Orange County Community College,NY,194240,1,Middle States Commission on Higher Education,2,2,Public,Northeast,Suburb,41.438629,-74.426028,,,,0,4900,50.2,12.2,31.5,2.3,3.8,40,5383,10559,5398,10174,5028,8970,7943,33.3,27.8,22.23,480,61.1,45.6,32.5
YTI Career Institute-Altoona,PA,375939,1,Accrediting Commission of Career Schools and Colleges,2,2,Profit,Northeast,City,40.48539,-78.395445,,,,0,172,92.4,3.5,0,0.6,3.5,0,16622,20813,25172,25172,10523,5582,3877,100,63.7,56.25,169,78.5,56.1,20.3
University of Arkansas-Pulaski Technical College,AR,107664,1,Higher Learning Commission,1,2,Public,Southeast,City,34.782783,-92.299184,,,,0,5184,40.8,43.9,6.8,1.4,7.1,53,10872,14794,5170,6340,2791,5252,4870,100,55.4,18.3,1153,61.4,43.9,20.5
Olivet Nazarene University,IL,147828,1,Higher Learning Commission,3,4,Private,Midwest,Suburb,41.155237,-87.875165,0.6617,23,1140,0,3356,77.3,8.5,7.5,2.5,4.2,7.3,20490,44935,34940,34940,12801,6765,7129,33.7,30.2,66.29,1254,62.6,27.7,66
