Name,Salary,Team,POS
Wade LeBlanc,2.750,SEA ,SP
Shawn Kelley,2.750,TEX ,RP
Jake Diekman,2.750,KC ,RP
Lonnie Chisenhall,2.750,PIT ,RF
Matt Duffy,2.675,TB ,3B
Tony Cingrani,2.650,LAD ,RP
Miguel Sano,2.650,MIN ,3B
Roberto Perez,2.625,CLE ,C
Steven Matz,2.625,NYM ,SP
Tyler Anderson,2.625,COL ,SP
Matt Boyd,2.600,DET ,SP
Zach Davies,2.600,MIL ,SP
Ketel Marte,2.600,ARI ,CF
Matt Albers,2.500,MIL ,RP
David Hernandez,2.500,CIN ,RP
Matt Moore,2.500,DET ,SP
Oliver Perez,2.500,CLE ,RP
James McCann,2.500,CWS ,C
Justin Bour,2.500,LAA ,1B
Hernan Perez,2.500,MIL ,2B
Adam Warren,2.500,SD ,RP
Martin Maldonado,2.500,KC ,C
Sergio Romo,2.500,MIA ,RP
Jose Iglesias,2.500,CIN ,SS
Seunghwan Oh,2.500,COL ,RP
David Phelps,2.500,TOR ,RP
Mike Montgomery,2.440,CHC ,RP
Eloy Jimenez,2.333,CWS ,LF
Craig Stammen,2.250,SD ,RP
Chris Martin,2.250,TEX ,RP
Merrill Kelly,2.250,ARI ,SP
Jonny Venters,2.250,ATL ,RP
Jared Hughes,2.250,CIN ,RP
Vince Velasquez,2.249,PHI ,SP
Junior Guerra,2.225,MIL ,SP
Jake Marisnick,2.213,HOU ,OF
Brad Boxberger,2.200,KC ,RP
Mychal Givens,2.150,BAL ,RP
Liam Hendriks,2.150,OAK ,RP
Anthony DeSclafani,2.125,CIN ,SP
Pedro Baez,2.100,LAD ,RP
Austin Hedges,2.060,SD ,C
Mark Canha,2.050,OAK ,OF
Jordan Lyles,2.050,PIT ,SP
Brian McCann,2.000,ATL ,C
Daniel Descalso,2.000,CHC ,2B
Neil Walker,2.000,MIA ,1B
Paul DeJong,2.000,STL ,SS
Adam Wainwright,2.000,STL ,SP
Shelby Miller,2.000,TEX ,SP
Edinson Volquez,2.000,TEX ,SP
Zach Duke,2.000,CIN ,RP
Robbie Grossman,2.000,OAK ,LF
Josh Harrison,2.000,DET ,2B
Derek Dietrich,2.000,CIN ,LF
Aledmys Diaz,2.000,HOU ,SS
Logan Forsythe,2.000,TEX ,2B
Hunter Pence,2.000,TEX ,LF
Michael Lorenzen,1.950,CIN ,RP
Domingo Santana,1.950,SEA ,LF
Andrew Chafin,1.945,ARI ,RP
Lourdes Gurriel Jr.,1.929,TOR ,2B
Jose Alvarez,1.925,PHI ,RP
Devon Travis,1.925,TOR ,2B
JC Ramirez,1.901,LAA ,SP
Archie Bradley,1.830,ARI ,RP
Hector Neris,1.800,PHI ,RP
Austin Romine,1.800,NYY ,C
Blake Parker,1.800,MIN ,RP
Francisco Liriano,1.800,PIT ,RP
Tyler Thornburg,1.750,BOS ,RP
Cam Bedrosian,1.750,LAA ,RP
Byron Buxton,1.750,MIN ,CF
Tim Beckham,1.750,SEA ,SS
Manny Pina,1.750,MIL ,C
Curtis Granderson,1.750,MIA ,LF
Gerardo Parra,1.750,SF ,RF
Yangervis Solarte,1.750,SF ,3B
Kyle Barraclough,1.725,WSH ,RP
Jose Leclerc,1.688,TEX ,RP
Chris Rusin,1.688,COL ,RP
Luis Garcia,1.675,LAA ,RP
Scott Kingery,1.667,PHI ,2B
Matt Barnes,1.600,BOS ,RP
Blake Snell,1.600,TB ,SP
Luis Avilan,1.600,NYM ,RP
Leury Garcia,1.550,CWS ,OF
Taylor Rogers,1.525,MIN ,RP
Chris Devenski,1.525,HOU ,RP
Ryan Tepera,1.525,TOR ,RP
Carl Edwards Jr.,1.500,CHC ,RP
Cory Gearrin,1.500,SEA ,RP
Drew Pomeranz,1.500,SF ,SP
Brett Anderson,1.500,OAK ,SP
Matt Wieters,1.500,STL ,C
Daniel Hudson,1.500,TOR ,RP
Robbie Erlin,1.450,SD ,SP
T.J. McFarland,1.450,ARI ,RP
Tim Anderson,1.400,CWS ,SS
Ryan Buchter,1.400,OAK ,RP
Hansel Robles,1.400,LAA ,RP
Delino DeShields,1.400,TEX ,CF
Aaron Loup,1.400,SD ,RP
Charlie Culberson,1.395,ATL ,SS
Tommy Kahnle,1.388,NYY ,RP
Steven Wright,1.375,BOS ,SP
Dan Otero,1.350,CLE ,RP
Aaron Altherr,1.350,PHI ,RF
Tommy La Stella,1.350,LAA ,2B
Heath Hembree,1.313,BOS ,RP
Blaine Hardy,1.300,DET ,RP
Scott Oberg,1.300,COL ,RP
Brandon Drury,1.300,TOR ,3B
Ehire Adrianza,1.300,MIN ,SS
Hunter Strickland,1.300,SEA ,RP
Jeremy Hellickson,1.300,WSH ,RP
Daniel Norris,1.275,DET ,SP
Chaz Roe,1.275,TB ,RP
Alex Claudio,1.275,MIL ,RP
Dominic Leone,1.260,STL ,RP
Tony Sipp,1.250,WSH ,RP
Nick Hundley,1.250,OAK ,C
Matt Joyce,1.250,ATL ,OF
Lucas Duda,1.250,KC ,1B
Josh Tomlin,1.250,ATL ,RP
Greg Bird,1.200,NYY ,1B
Erik Kratz,1.200,SF ,C
Whit Merrifield,1.188,KC ,2B
Brandon Lowe,1.167,TB ,2B
Travis Jankowski,1.165,SD ,OF
Brandon Workman,1.150,BOS ,RP
Melky Cabrera,1.150,PIT ,LF
Kevin Plawecki,1.138,CLE ,C
Jose Martinez,1.125,STL ,LF
Adam Conley,1.125,MIA ,RP
Adam Morgan,1.100,PHI ,RP
Josh Phegley,1.075,OAK ,C
Nick Tropeano,1.075,LAA ,SP
Neil Ramirez,1.000,CLE ,RP
Brad Miller,1.000,CLE ,2B
Mark Reynolds,1.000,COL ,1B
Chris Herrmann,1.000,OAK ,C
Jeanmar Gomez,1.000,TEX ,RP
Peter Bourjos,1.000,LAA ,OF
Hanley Ramirez,1.000,CLE ,DH
Tony Wolters,0.960,COL ,C
Curt Casali,0.950,CIN ,C
Matt Andriese,0.920,ARI ,RP
Blake Swihart,0.910,BOS ,C
Roenis Elias,0.910,SEA ,RP
Greg Garcia,0.910,SD ,2B
John Ryan Murphy,0.900,ARI ,C
Joe Biagini,0.900,TOR ,RP
Trevor May,0.900,MIN ,RP
Marco Gonzales,0.900,SEA ,SP
Xavier Cedeno,0.900,CHC ,RP
Jesus Sucre,0.850,BAL ,C
Ji-Man Choi,0.850,TB ,1B
Nate Karns,0.800,BAL ,RP
Jesse Hahn,0.800,KC ,SP
Brian Flynn,0.800,KC ,RP
Guillermo Heredia,0.782,TB ,OF
Tony Barnette,0.750,CHC ,RP
Alex Wilson,0.750,MIL ,RP
Andrew Benintendi,0.718,BOS ,LF
Yimi Garcia,0.710,LAD ,RP
Gordon Beckham,0.700,DET ,2B
J.B. Shuck,0.700,PIT ,OF
Josh Hader,0.688,MIL ,RP
Aaron Judge,0.684,NYY ,RF
Willson Contreras,0.684,CHC ,C
Niko Goodrum,0.671,DET ,2B
Gary Sanchez,0.670,NYY ,C
Shohei Ohtani,0.650,LAA ,SP
Richard Rodriguez,0.650,PIT ,RP
Scott Barlow,0.650,KC ,SP
Terrance Gore,0.650,KC ,OF
Alex Bregman,0.641,HOU ,3B
Jesus Aguilar,0.638,MIL ,1B
Scott Schebler,0.625,CIN ,CF
Jose Berrios,0.620,MIN ,SP
Miguel Andujar,0.618,NYY ,3B
Albert Almora Jr.,0.616,CHC ,OF
Rafael Devers,0.615,BOS ,3B
Zac Rosscup,0.610,SEA ,RP
Zack Godley,0.609,ARI ,SP
Edwin Diaz,0.607,NYM ,RP
Joey Gallo,0.606,TEX ,LF
Gleyber Torres,0.605,NYY ,2B
Cody Bellinger,0.605,LAD ,RF
Chad Green,0.599,NYY ,RP
Brandon Nimmo,0.598,NYM ,LF
Nick Pivetta,0.598,PHI ,SP
Jordan Montgomery,0.597,NYY ,SP
Ross Stripling,0.595,LAD ,SP
Justin Miller,0.593,WSH ,RP
Mike Clevinger,0.592,CLE ,SP
Seth Lugo,0.592,NYM ,RP
Max Stassi,0.590,HOU ,C
Mitch Haniger,0.590,SEA ,LF
Zach Eflin,0.590,PHI ,SP
Jameson Taillon,0.588,PIT ,SP
Josh Bell,0.587,PIT ,1B
Brian Anderson,0.585,MIA ,3B
Dansby Swanson,0.585,ATL ,SS
Luke Jackson,0.585,ATL ,RP
Adam Frazier,0.584,PIT ,2B
Trevor Williams,0.584,PIT ,SP
Tony Kemp,0.584,HOU ,LF
Brian Goodwin,0.584,LAA ,LF
Tyler White,0.583,HOU ,1B
Robert Gsellman,0.583,NYM ,RP
Joe Musgrove,0.583,PIT ,SP
Hunter Renfroe,0.582,SD ,RF
Matt Strahm,0.582,SD ,SP
Kyle Crick,0.582,PIT ,RP
Edgar Santana,0.582,PIT ,RP
Luke Weaver,0.581,ARI ,SP
Omar Narvaez,0.581,SEA ,C
Wilmer Difo,0.581,WSH ,2B
Jonathan Holder,0.580,NYY ,RP
Matt Chapman,0.580,OAK ,3B
Jesse Winker,0.580,CIN ,LF
Reynaldo Lopez,0.580,CWS ,SP
Ryon Healy,0.580,SEA ,3B
Colin Moran,0.580,PIT ,3B
Sam Gaviglio,0.580,TOR ,RP
Luke Maile,0.579,TOR ,C
Luis Cessa,0.579,NYY ,SP
Teoscar Hernandez,0.579,TOR ,LF
Elias Diaz,0.579,PIT ,C
Mallex Smith,0.578,SEA ,CF
Harrison Bader,0.578,STL ,CF
Juan Soto,0.578,WSH ,LF
Jakob Junis,0.578,KC ,SP
Kevin McCarthy,0.578,KC ,RP
Brad Keller,0.578,KC ,SP
Hanser Alberto,0.578,BAL ,3B
Chad Kuhl,0.578,PIT ,SP
Domingo German,0.578,NYY ,RP
Ryan Brasier,0.578,BOS ,RP
Manuel Margot,0.577,SD ,CF
Erik Gonzalez,0.577,PIT ,SS
Matt Grace,0.576,WSH ,RP
Adalberto Mondesi,0.576,KC ,SS
Amed Rosario,0.576,NYM ,SS
Trey Mancini,0.576,BAL ,LF
Ozzie Albies,0.575,ATL ,2B
Jesse Biddle,0.575,ATL ,RP
Rhys Hoskins,0.575,PHI ,1B
Johan Camargo,0.575,ATL ,3B
Sean Newcomb,0.575,ATL ,SP
Shane Carle,0.575,ATL ,RP
A.J. Minter,0.575,ATL ,RP
Brian Johnson,0.575,BOS ,RP
Kendall Graveman,0.575,CHC ,SP
Yoan Moncada,0.575,CWS ,3B
Max Muncy,0.575,LAD ,1B
Austin Barnes,0.575,LAD ,C
Scott Alexander,0.575,LAD ,RP
Drew Steckenrider,0.575,MIA ,RP
Mitch Garver,0.575,MIN ,C
Nick Williams,0.575,PHI ,RF
Brandon Brennan,0.575,SEA ,RP
Luke Bard,0.575,LAA ,RP
Matt Olson,0.575,OAK ,1B
Tyler Naquin,0.575,CLE ,RF
Silvino Bracho,0.575,ARI ,RP
Steven Brault,0.575,PIT ,RP
Mikie Mahtook,0.575,DET ,CF
Edubray Ramos,0.574,PHI ,RP
Jose Osuna,0.574,PIT ,1B
Luke Voit,0.573,NYY ,1B
Tim Hill,0.573,KC ,RP
Lucas Giolito,0.573,CWS ,SP
Richard Bleier,0.573,BAL ,RP
Kevan Smith,0.573,LAA ,C
Jake Cave,0.573,MIN ,OF
Trevor Hildenberger,0.573,MIN ,RP
Keon Broxton,0.572,NYM ,CF
John Gant,0.571,STL ,SP
Adam Engel,0.571,CWS ,CF
Dylan Covey,0.571,CWS ,RP
Buck Farmer,0.571,DET ,RP
Jose Alvarado,0.571,TB ,RP
Max Moroff,0.571,CLE ,2B
Franmil Reyes,0.571,SD ,RF
Joey Wendle,0.570,TB ,3B
Daniel R. Robertson,0.570,TB ,2B
Jorge Alfaro,0.570,MIA ,C
Walker Buehler,0.570,LAD ,SP
Joey Rickard,0.570,BAL ,RF
Tyler Mahle,0.570,CIN ,SP
Wandy Peralta,0.570,CIN ,RP
Lewis Brinson,0.570,MIA ,CF
Trevor Richards,0.570,MIA ,SP
Ronald Guzman,0.570,TEX ,1B
Victor Caratini,0.570,CHC ,C
Isiah Kiner-Falefa,0.570,TEX ,C
John Brebbia,0.569,STL ,RP
Joe Jimenez,0.569,DET ,RP
Miguel Castro,0.569,BAL ,RP
Jace Fry,0.569,CWS ,RP
Felix Pena,0.569,LAA ,SP
Noe Ramirez,0.569,LAA ,RP
Nick Kingham,0.569,PIT ,RP
Dovydas Neverauskas,0.569,PIT ,RP
Tyler Austin,0.569,MIN ,1B
Sam Tuivailala,0.569,SEA ,RP
Hector Velazquez,0.569,BOS ,RP
Brent Suter,0.568,MIL ,SP
Tim Mayza,0.568,TOR ,RP
Eric Skoglund,0.568,KC ,SP
Jeff McNeil,0.568,NYM ,3B
Ben Gamel,0.568,MIL ,OF
Matt Koch,0.568,ARI ,RP
Jacob Barnes,0.568,MIL ,RP
Amir Garrett,0.568,CIN ,RP
Mike Wright,0.568,BAL ,SP
Reyes Moronta,0.568,SF ,RP
Chris Stratton,0.568,LAA ,SP
Trevor Gott,0.568,SF ,RP
Drew VerHagen,0.567,DET ,RP
Hunter Dozier,0.567,KC ,3B
JaCoby Jones,0.567,DET ,CF
John Hicks,0.567,DET ,C
Daniel Palka,0.567,CWS ,OF
Josh James,0.567,HOU ,RP
Tyler Glasnow,0.567,TB ,SP
Dinelson Lamet,0.567,SD ,SP
Framber Valdez,0.567,HOU ,RP
Daniel Stumpf,0.567,DET ,RP
Orlando Arcia,0.566,MIL ,SS
Pablo Reyes,0.566,PIT ,OF
Ryan Borucki,0.565,TOR ,SP
Joey Lucchesi,0.565,SD ,SP
Dylan Moore,0.565,SEA ,3B
Dylan Floro,0.565,LAD ,RP
Max Fried,0.565,ATL ,RP
German Marquez,0.565,COL ,SP
Julio Urias,0.565,LAD ,SP
Bryse Wilson,0.565,ATL ,SP
Kyle Wright,0.565,ATL ,SP
Chad Sobotka,0.565,ATL ,RP
Wes Parsons,0.565,ATL ,RP
Kyle Freeland,0.565,COL ,SP
Chad Pinder,0.565,OAK ,1B
Tayron Guerrero,0.565,MIA ,RP
Jharel Cotton,0.565,OAK ,SP
Andrew Knapp,0.565,PHI ,C
