Country,Code,LandArea,Population,Density,GDP,Rural,CO2,PumpPrice,Military,Health,ArmedForces,Internet,Cell,HIV,Hunger,Diabetes,BirthRate,DeathRate,ElderlyPop,LifeExpectancy,FemaleLabor,Unemployment,Energy,Electricity,Developed
Bangladesh,BGD,130.17,161.356,1239.6,1698,63.4,0.47,1.12,10.16,3.38,221,18,91.7,0.1,15.2,8.4,18.6,5.3,5.1,72.8,38.1,4.3,229,320,1
Barbados,BRB,0.43,0.287,666.6,,68.9,4.47,,,9.28,1,81.8,115.3,1.6,3.7,13.6,11.8,10.8,15.4,76.1,75,9.6,,,
Belarus,BLR,202.9880078,9.485,46.7,6290,21.4,6.7,0.6,31.9,8.47,155,74.4,120.6,0.4,2.5,5.2,10.8,12.6,15,74.1,74.6,5.7,2929,3680,2
Belgium,BEL,30.28,11.422,377.2,46556,2,8.33,1.43,1.79,15.84,32,87.7,104.7,,2.5,4.3,10.5,9.6,18.8,81.4,63.4,6.3,4708,7709,3
Belize,BLZ,22.81,0.383,16.8,5025,54.3,1.4,1.13,3.87,12.42,2,47.1,63.9,1.9,6.5,17.1,22.3,5.4,3.9,70.6,55.5,9.4,,,
Benin,BEN,112.76,11.485,101.9,902,52.7,0.61,0.72,3.72,3.72,12,14.1,78.5,1,10.4,1,36.6,9,3.3,61.2,70.6,2.1,417,100,1
Bermuda,BMU,0.054000001,0.064,1184.6,,0,8.84,,,,,98.4,105.9,,,13,9.3,7.8,,81.4,,,,,
Bhutan,BTN,38.14399902,0.754,19.8,3360,59.1,1.39,0.98,,8.3,,48.1,90.5,,,9.8,17.9,6,5,70.6,60.7,2.2,,,
Bolivia,BOL,1083.3,11.353,10.5,3549,30.6,1.91,0.71,3.88,11.33,71,43.8,99.2,0.3,19.8,6.9,23,7.3,6.8,69.5,58.1,3.3,778,743,1
Bosnia and Herzegovina,BIH,51.2,3.324,64.9,5951,51.8,6.38,1.05,2.74,15.44,11,69.5,98.1,,2.5,10.1,9.2,11.2,17,77.1,45.2,20.8,2247,3447,2
Botswana,BWA,566.73,2.254,4,8259,30.6,3.37,0.71,8.56,9.15,9,41.4,141.4,22.8,28.5,4.8,23.2,6.4,4.1,67.6,69.1,17.9,1301,1816,1
Brazil,BRA,8358.14,209.469,25.1,8921,13.4,2.61,1.02,3.9,9.9,730,67.5,113,0.6,2.5,8.1,13.9,6.2,8.9,75.7,60.6,12.5,1496,2620,2
British Virgin Islands,VGB,0.15,0.03,198.7,,52.3,6.2,,,,,,,,,13.7,,,,,,,,,
Brunei Darussalam,BRN,5.27,0.429,81.4,31628,22.4,22.23,0.37,7.8,5.69,8,94.9,127.1,,2.6,12.8,15.6,3.6,4.9,77.4,62.1,9.2,8673,10291,3
Bulgaria,BGR,108.56,7.024,64.7,9273,25,5.87,1.11,4.81,11.9,31,63.4,120.4,0.1,3,5.8,9,15.5,21.1,74.8,67.5,5.3,2478,4709,2
Burkina Faso,BFA,273.6,19.752,72.2,731,70.6,0.16,0.98,8.01,11.03,11,15.9,93.5,0.8,21.3,2.4,38.4,8.3,2.4,60.8,60,6.1,,,
Burundi,BDI,25.68,11.175,435.2,275,87,0.04,1.21,8.43,8.52,31,5.6,54.5,1.1,,6.1,41.8,10.5,2.6,57.9,81.6,1.5,,,
Cabo Verde,CPV,4.03,0.544,134.9,3654,34.3,0.95,1.02,1.76,9.89,1,57.2,112.1,0.6,12.3,2.4,20.7,5.4,4.5,73,69.7,12.3,,,
Cambodia,KHM,176.52,16.25,92.1,1512,76.6,0.44,0.9,9.17,6.16,191,34,116,0.5,18.5,4,22.9,6,4.6,69.3,77.2,1,417,271,1
Cameroon,CMR,472.71,25.216,53.3,1527,43.6,0.31,1.03,6.03,2.95,24,23.2,83.7,3.7,7.3,7.2,35.8,9.8,3.2,58.6,72.1,3.4,335,275,1
Canada,CAN,9093.51,37.059,4.1,46125,18.6,15.16,0.81,3.12,19.02,72,92.7,86.5,,2.5,7.4,10.3,7.5,17.4,82.5,75.1,5.9,7898,15588,3
Cayman Islands,CYM,0.24,0.064,267.4,,0,8.92,,,,,81.1,157,,,13.2,9.9,3.4,,,,,,,
Central African Republic,CAF,622.98,4.666,7.5,510,58.6,0.07,1.41,8.45,5.06,8,4.3,25.2,4,61.8,6.1,35.3,13.1,3.6,52.9,66.1,6.5,,,
Chad,TCD,1259.2,15.478,12.3,730,76.9,0.05,0.78,14.64,5.9,35,6.5,42.7,1.3,39.7,6.1,42.8,12.7,2.5,53.2,65.2,2.2,,,
Channel Islands,CHI,0.197999992,0.17,861.1,,69.1,,,,,,,,,,4.3,9.3,9,18.4,81.3,63.8,7.3,,,
Chile,CHL,743.5320313,18.729,25.2,15923,12.4,4.65,1.03,7.41,19.74,122,82.3,127.5,0.6,3.3,8.5,13.1,6.2,11.5,79.7,58.2,7.2,2033,3880,2
China,CHN,9388.21,1392.73,148.3,9771,40.8,7.54,0.96,5.49,9.05,2695,54.3,104.3,,8.7,9.7,12.4,7.1,11.2,76.4,69,4.4,2237,3927,2
Colombia,COL,1109.5,49.649,44.7,6651,19.2,1.79,0.68,11.63,13.37,481,62.3,126.8,0.5,6.5,7.4,14.9,6.1,8,74.6,63.7,9.1,724,1312,1
Comoros,COM,1.861000061,0.832,447.2,1445,71,0.2,,,3.63,,8.5,57.6,0.1,,11.9,32.4,7.3,3,63.9,38.4,3.7,,,
"Congo, Dem. Rep.",COD,2267.05,84.068,37.1,562,55.5,0.06,1.49,5.47,3.73,134,8.6,43.5,0.7,,6.1,41.7,9.7,3,60,61.7,4.2,389,109,1
"Congo, Rep.",COG,341.5,5.244,15.4,2148,33.1,0.65,0.97,10.44,3.92,12,8.7,96.1,3.1,37.5,7.2,34.1,7.1,3.4,65.1,68.1,10.4,555,203,1
Costa Rica,CRI,51.06,4.999,97.9,12027,20.7,1.62,0.98,0,29.19,10,71.6,180.2,0.4,4.4,8.8,14.1,5,9.8,80,51.8,8.1,1023,1942,1
Cote d'Ivoire,CIV,318,25.069,78.8,1716,49.2,0.49,0.93,5.98,4.88,27,43.8,130.7,2.8,20.7,2.4,36.6,11.9,2.9,54.1,49.3,2.5,613,275,1
Croatia,HRV,55.96,4.089,73.1,14869,43.1,3.97,1.26,3.1,11.97,18,67.1,103,,2.5,5.6,8.9,13,20.1,77.8,62,8.9,1898,3714,2
Cuba,CUB,104.02,11.338,109,,23,3.08,,,17.26,76,49.1,40.2,0.4,2.5,8.3,10.8,8.1,15.2,79.9,48.9,2.3,1035,1451,1
Curacao,CUW,,0.16,,,10.9,37.73,,,,,,116.6,,,11.6,9.7,8.9,16.8,78,,,12651,4798,2
Cyprus,CYP,9.24,1.189,128.7,28159,33.2,5.26,1.23,4.26,7.53,16,80.7,138.5,0.1,4.6,9.2,10.7,7,13.7,80.7,68.9,8.1,1712,3625,2
Czech Republic,CZE,77.22,10.626,137.6,22973,26.2,9.17,1.17,2.76,14.83,23,78.7,119,0.1,2.5,6.8,10.8,10.5,19.5,79.5,69.3,2.4,3915,6259,3
Denmark,DNK,41.99,5.797,138.1,60596,12.1,5.94,1.55,2.31,16.25,15,97.1,121.7,0.1,2.5,6.4,10.6,8.2,19.8,81,76.2,5,2873,5859,3
Djibouti,DJI,23.18,0.959,41.4,2050,22.2,0.8,1.32,,3.1,13,55.7,39,1.3,19.7,6.1,22.7,8.3,4.3,62.6,58.2,11.1,,,
Dominica,DMA,0.75,0.072,95.5,7032,29.5,1.91,,,8.03,,69.6,101.8,,5.2,11.6,,,,,,,,,
Dominican Republic,DOM,48.31,10.627,220,7650,18.9,2.12,1.07,4.14,16,71,65,81.4,0.9,10.4,8.2,19.8,6.1,7.2,74,55,5.8,752,1616,1
Ecuador,ECU,248.36,17.084,68.8,6345,36.2,2.75,0.61,6.37,10.99,41,57.3,88.1,0.3,7.8,5.6,19.9,5.1,7.3,76.6,59.8,3.9,889,1376,1
"Egypt, Arab Rep.",EGY,995.45,98.424,98.9,2549,57.3,2.23,0.4,4.14,4.22,836,45,105.5,0.1,4.8,17.3,25.7,5.9,5.2,71.7,24.7,11.4,827,1683,1
El Salvador,SLV,20.72,6.421,309.9,4058,28,1,0.83,4.24,20.93,42,31.3,156.5,0.6,10.3,8.9,18.4,6.8,8.5,73.8,50,4.4,646,937,1
Equatorial Guinea,GNQ,28.05,1.309,46.7,10174,27.9,4.76,,,2.59,1,26.2,44.7,6.5,,7.8,33.6,10,2.8,57.9,56.7,9.2,,,
Eritrea,ERI,101,,,,,,2,,2.92,202,1.3,13.7,0.6,,6.1,31.6,6.6,,65.5,76.5,6.5,,,
Estonia,EST,43.47,1.321,30.4,22928,31.1,14.85,1.14,5.13,12.41,6,88.1,145.4,0.7,2.8,4,10.5,11.8,19.7,77.6,75.3,5.5,4593,6732,3
Eswatini,SWZ,17.2,1.136,66.1,4140,76.2,1.1,0.77,5.25,15.23,,30.3,76.9,27.4,20.7,3.9,28.4,9.4,3.2,58.3,43.7,22.5,,,
Ethiopia,ETH,1000,109.225,109.2,772,79.2,0.12,0.75,3.85,6.02,138,18.6,37.7,0.9,21.4,7.5,31.3,6.7,3.5,65.9,76.9,1.8,493,69,1
Faroe Islands,FRO,1.396000061,0.048,34.7,,57.9,12.46,,,,,97.6,114.2,,,,13.1,8.9,,82.4,,,,,
Fiji,FJI,18.27,0.883,48.4,6202,43.8,1.35,0.82,2.71,7.66,4,50,114.2,,4.4,14.5,19,7.2,6.4,70.4,40.8,4.2,,,
Finland,FIN,303.91,5.518,18.2,49960,14.6,8.66,1.45,2.65,13.12,25,87.5,132.3,,2.5,5.8,9.1,9.8,21.6,81.4,75.1,7.8,6213,15250,3
France,FRA,547.5569922,66.987,122.3,41464,19.6,4.57,1.39,4.1,16.97,307,80.5,106.2,0.5,2.5,4.8,11.4,9,20.1,82.5,67.5,9.2,3659,6940,3
French Polynesia,PYF,3.66,0.278,75.9,,38.2,2.96,,,,,72.7,101.7,,4.4,22.6,15.2,5.5,8.1,77,52.9,12,,,
Gabon,GAB,257.67,2.119,8.2,8030,10.6,2.76,0.92,9.17,9.2,7,50.3,131.5,4.2,9.4,7.2,28.9,7.4,4.4,66.5,45.4,19.5,2694,1168,1
"Gambia, The",GMB,10.12,2.28,225.3,712,38.7,0.25,1.18,3.31,2.76,1,19.8,141.2,1.6,9.6,1.9,39,7.9,2.4,61.4,52.9,8.9,,,
Georgia,GEO,69.49,3.731,65.3,4345,41.4,2.42,0.76,6.61,10.29,26,60.5,140.7,0.4,7.4,7.1,13.2,13.2,15,73.4,63.4,14.1,1180,2694,2
Germany,DEU,349.36,82.928,237.4,48196,22.7,8.89,1.39,2.82,21.36,180,84.4,133.6,0.2,2.5,8.3,9.5,11.3,21.7,81,74.1,3.4,3779,7035,3
Ghana,GHA,227.54,29.767,130.8,2202,43.9,0.53,0.92,1.56,6.54,16,37.9,127.5,1.7,6.1,5,30.5,8,3.4,63,65.3,6.7,332,351,1
Gibraltar,GIB,0.01,0.034,3371.8,,0,15.66,,,,,,118.7,,,,,,,,,,5812,5693,3
Greece,GRC,128.9,10.728,83.2,20324,20.9,6.18,1.54,4.92,10.32,146,69.9,115.9,0.2,2.5,4.6,8.2,11.6,20.6,81.4,60.5,19.2,2124,5063,3
Greenland,GRL,410.45,0.056,0.1,,13.2,8.99,,,,,69.5,,,,2.2,15.2,8.9,,,,,,,
Grenada,GRD,0.34,0.111,327.8,10834,63.7,2.22,1.12,,9.02,,59.1,105,,,10.7,18.4,7.1,7.4,73.8,,,,,
Guam,GUM,0.54,0.166,307,,5.2,,,,,,80.5,,,,21.5,16.7,5.1,9.9,79.8,59.6,5.6,,,1
Guatemala,GTM,107.16,17.248,161,4549,48.9,1.15,0.79,2.88,17.94,43,40.7,118.2,0.4,15.8,10.2,24.9,4.8,4.8,73.7,43.1,2.7,830,578,1
Guinea,GIN,245.72,12.414,50.5,885,63.9,0.22,0.9,9.88,4.11,13,11.4,92,1.5,19.7,2.4,35.5,8.9,3.2,60.6,66.3,3.6,,,
Guinea-Bissau,GNB,28.12,1.874,66.7,778,56.6,0.16,,,12.88,4,3.9,77.1,3.4,26,2.4,36,10.3,3.1,57.8,68.6,4.1,,,
Guyana,GUY,196.85,0.779,4,4635,73.4,2.63,0.9,4.39,7.72,3,37.3,82.7,1.7,7.5,11.6,20.4,8.3,5.4,66.8,44.3,12.2,,,
Haiti,HTI,27.56,11.123,403.6,868,44.7,0.27,0.81,0,4.42,0,12.3,57.4,1.9,45.8,6.7,23.8,8.5,4.9,63.6,64.8,13.5,394,39,1
Honduras,HND,111.89,9.588,85.7,2483,42.9,1.06,0.98,6.46,14.04,23,32.1,88.9,0.3,15.3,7.2,21.4,4.8,4.8,73.8,49.3,4.1,598,620,1
"Hong Kong SAR, China",HKG,1.05,7.451,7096.2,48717,0,6.39,1.86,,,,89.4,249.8,,2.5,8.3,7.7,6.3,16.9,84.7,65.3,2.8,1970,6083,3
Hungary,HUN,90.53,9.769,107.9,15939,28.6,4.27,1.18,2.23,10.42,40,76.8,113.5,0.1,2.5,7.6,9.7,13.5,19.2,76.1,64.7,3.7,2314,3966,2
Iceland,ISL,100.25,0.354,3.5,73191,6.2,6.06,1.69,0,14.94,0,98.3,122.6,,2.5,5.3,11.9,6.5,14.8,82.2,85.8,2.9,17916,53832,3
India,IND,2973.19,1352.617,454.9,2016,66,1.73,0.97,8.74,3.14,3031,34.5,87.3,0.2,14.8,10.4,18.8,7.3,6.2,68.8,24.8,2.6,637,805,1
Indonesia,IDN,1811.57,267.663,147.8,3894,44.7,1.82,0.63,4.29,8.31,676,32.3,164.9,0.4,7.7,6.3,18.6,7.2,5.5,69.4,54.3,4.3,884,812,1
"Iran, Islamic Rep.",IRN,1628.76,81.8,50.2,,25.1,8.38,0.399,15.78,22.6,563,60.4,107.2,0.1,4.9,9.6,15.9,4.5,5.7,76.2,17.9,12,3060,3022,2
Iraq,IRQ,434.1280078,38.434,88.5,5878,29.5,4.89,0.61,8.4,1.7,209,49.4,87.3,,27.7,8.8,32.8,5,3.3,70,13,7.9,1438,1328,1
Ireland,IRL,68.89,4.854,70.5,77450,36.8,7.31,1.37,1.26,19.65,9,84.5,102.9,0.2,2.5,3.3,12.9,6.3,14.3,82,66.7,5.7,2742,5672,3
Isle of Man,IMN,0.57,0.084,147.5,,47.4,,,,,,,,,,,,,,,,,,,
Israel,ISR,21.64,8.884,410.5,41614,7.6,7.86,1.57,11.06,11.56,178,81.6,126.7,,2.5,6.7,21.1,5.1,12,82.6,69.1,4,2763,6601,3
Italy,ITA,294.14,60.431,205.5,34318,29.6,5.27,1.61,2.77,13.47,347,61.3,141.3,0.2,2.5,4.8,7.6,10.7,23.3,83.2,55.7,10.2,2414,5002,3
Jamaica,JAM,10.83,2.935,271,5356,44.3,2.58,1.11,4.37,12.85,4,48.8,107,1.8,8.9,11.3,16.4,7,9.9,76.1,66.9,9.4,977,1051,1
Japan,JPN,364.56,126.529,347.1,39287,8.4,9.54,1.06,2.53,23.39,261,90.9,135.5,0.1,2.5,5.7,7.6,10.8,27.5,84.1,69.8,2.4,3471,7820,3
Jordan,JOR,88.78,9.956,112.1,4248,9,2.97,1.1,15.02,11.96,116,66.8,100,,13.5,11.8,25.9,3.8,3.8,74.5,15.1,15,917,1865,1
Kazakhstan,KAZ,2699.7,18.276,6.8,9331,42.6,14.36,0.42,4.77,9.4,71,76.4,146.6,0.2,2.5,7.1,21.6,7.2,7.2,73,73.7,4.9,4435,5600,3
Kenya,KEN,569.14,51.393,90.3,1711,73,0.31,0.95,4.81,6.06,29,17.8,86.1,4.8,24.2,2.9,30.9,5.7,2.7,67.3,64.1,9.3,506,164,1
Kiribati,KIR,0.81,0.116,143,1625,45.9,0.57,,,5.54,,14.6,39.6,,3.1,22.7,27.9,7,4,66.5,,,,,
"Korea, Dem. People's Rep.",PRK,120.41,25.55,212.2,,38.1,1.62,0.58,,,1469,,14.9,,43.4,4,13.8,9,9.3,71.9,81.4,3.3,475,602,1
"Korea, Rep.",KOR,97.48900391,51.635,529.7,31363,18.5,11.57,1.22,12.35,13.45,634,95.1,124.9,,2.5,6.8,7,5.6,14.4,82.6,59.4,3.8,5289,10497,3
Kosovo,XKX,,1.845,,4281,,,1.11,2.67,,,,,,,,16.4,7,,71.9,,,1213,2804,2
Kuwait,KWT,17.82,4.137,232.2,34244,0,25.85,0.35,11.01,6.21,25,98,172.6,0.1,2.5,15.8,16,2.8,2.5,74.8,58.8,2.1,9179,15591,3
Kyrgyz Republic,KGZ,191.8,6.316,32.9,1281,63.6,1.65,0.56,4.39,6.6,21,38.2,121.9,0.2,6.5,7.1,24.8,5.4,4.7,71.2,51.6,7.2,650,1941,1
Lao PDR,LAO,230.8,7.062,30.6,2568,65,0.29,0.93,,3.74,129,25.5,54.1,0.3,16.6,4,23.4,6.6,4.1,67,80.7,0.6,,,
Latvia,LVA,62.18,1.927,31,18089,31.9,3.5,1.16,5.19,9.18,6,81.3,126.4,,2.5,4.9,10.7,14.8,20,74.7,74.7,7.9,2177,3507,2
Lebanon,LBN,10.23,6.849,669.5,8270,11.4,3.84,0.74,15.56,14.33,80,78.2,72.3,0.1,10.9,12.7,15.5,4.7,8.7,79.8,26.3,6.2,1197,2588,2
Lesotho,LSO,30.36,2.108,69.4,1324,71.8,1.21,0.7,3.82,10.9,2,29.8,70.9,23.8,12.8,3.9,27.5,12.5,4.5,54.6,62.1,23.6,,,
Liberia,LBR,96.32,4.819,50,674,48.8,0.21,0.8,1.48,3.86,2,8,56.2,1.4,38.8,2.4,33.9,7.7,3.1,63,55.7,2,,,
Libya,LBY,1759.54,6.679,3.8,7235,19.9,8.96,0.11,,0,,21.8,94.4,,,10.4,19.1,5.2,4.5,72.1,27.3,17.3,2809,1811,1
Liechtenstein,LIE,0.16,0.038,236.9,,85.7,1.18,,,,,98.1,122.4,,,7.8,8.9,6.6,,82.3,,,,,
Lithuania,LTU,62.64200195,2.79,44.5,19090,32.3,4.38,1.16,5.84,12.8,34,77.6,150.9,0.2,2.5,3.7,10.1,14.2,19.2,74.7,74.8,6,2387,3821,2
Luxembourg,LUX,2.43,0.608,250.1,114340,9,17.36,1.19,1.4,11.88,2,97.8,136.1,0.3,2.5,4.4,10.4,7.1,14.5,82.7,65.8,5.5,6861,13915,3
"Macao SAR, China",MAC,0.0304,0.632,20777.5,86355,0,2.17,,,,,83.2,328.8,,11.4,,12.2,3.9,10.5,84,73.5,2,,,
Madagascar,MDG,581.8,26.262,45.1,461,62.8,0.13,1.11,3.54,17.83,22,9.8,34.1,0.3,43.1,3.9,32.9,6.2,3,66.3,85,1.7,,,
Malawi,MWI,94.28,18.143,192.4,389,83.1,0.08,1.15,3.11,9.83,15,13.8,41.7,9.6,26.3,3.9,36.4,7.1,2.9,63.7,74.4,5.4,,,
Malaysia,MYS,328.55,31.529,96,11239,24,8.13,0.45,4.26,8.23,136,80.1,133.9,0.4,2.9,16.7,17,5,6.5,75.5,54.9,3.4,3003,4652,2
Maldives,MDV,0.3,0.516,1719,10224,60.2,3.07,,,20.15,,63.2,206.3,,11,9.2,17.7,3.3,4.2,77.6,43.7,6.1,,,
Mali,MLI,1220.19,19.078,15.6,901,57.6,0.08,1.12,14.29,5.43,18,12.7,118.8,1.2,6,2.4,42.1,10,2.5,58.5,63.4,9.6,,,
Malta,MLT,0.32,0.484,1511,30075,5.4,5.4,1.36,1.28,15.82,2,80.1,140.4,,2.5,8.8,9.2,7.6,19.9,82.5,57.4,4.6,1782,4925,2
Marshall Islands,MHL,0.18,0.058,324.5,3621,23,1.8,,,20.68,,38.7,30.1,,,30.5,,,,,,,,,
Mauritania,MRT,1030.7,4.403,4.3,1219,46.3,0.69,1.13,11.19,5.53,21,20.8,92.2,0.3,11.3,2.4,33.7,7.8,3.2,63.4,30.2,10.3,,,
Mauritius,MUS,2.03,1.265,623.3,11239,59.2,3.35,1.12,0.63,9.96,3,55.6,145.4,,5.8,22,10.7,8,11.5,74.5,52.2,6.9,1111,2183,1
Mexico,MEX,1943.95,126.191,64.9,9698,19.8,3.99,0.73,2.08,10.41,336,63.9,88.5,0.3,3.8,13.1,17.8,4.9,7.1,77.3,47.1,3.3,1562,2157,1
"Micronesia, Fed. Sts.",FSM,0.7,0.113,160.9,3058,77.3,1.4,,,5.73,,35.3,21.9,,,12,23.8,6.2,5.1,69.3,,,,,
Moldova,MDA,32.89,3.546,123.5,3189,57.4,1.39,0.8,0.95,12.12,7,76.1,90.4,0.6,,5.7,10.1,11.6,11.5,71.7,44.6,3.4,928,1386,1
Monaco,MCO,,0.039,,,0,,,,6.7,,97.1,85.2,,,5.5,,,,,,,,,
Mongolia,MNG,1553.56,3.17,2,4104,31.6,7.09,0.72,2.51,5.33,18,23.7,126.4,0.1,18.7,4.8,23.1,6.3,4.1,69.5,56.5,6.3,1828,2006,1
Montenegro,MNE,13.45,0.622,46.3,8761,33.2,3.56,1.16,3.24,12.06,12,71.3,166.1,0.1,2.5,10.1,11.2,9.9,15.3,77.3,53.7,15.5,1538,4612,2
Morocco,MAR,446.3,36.029,80.7,3238,37.5,1.75,0.99,10.48,9.07,246,61.8,122.9,0.1,3.9,7.1,19.5,5.1,7,76.1,23.1,9,555,904,1
Mozambique,MOZ,786.38,29.496,37.5,490,64,0.32,0.65,3.18,8.35,11,20.8,40,12.5,30.5,3.3,38.6,9.8,3.2,58.9,78,3.2,443,479,1
Myanmar,MMR,653.08,53.708,82.2,1326,69.4,0.41,0.54,15.2,4.79,513,30.7,89.8,0.7,10.5,4.6,17.6,8.2,6,66.7,51.7,1.6,369,215,1
Namibia,NAM,823.29,2.448,3,5931,50,1.65,0.76,8.8,13.8,16,36.8,105.8,12.1,25.4,3.9,28.7,7.1,3.6,64.9,58.7,23.1,794,1653,1
Nauru,NRU,0.02,0.013,635.2,9030,0,4.02,,,5.04,,57,88,,,24.1,,,,,,,,,
Nepal,NPL,143.35,28.088,195.9,1026,80.3,0.3,0.91,4.5,5.31,112,21.4,123.2,0.2,9.5,7.3,19.5,6.2,6,70.6,84.5,1.3,434,146,1
Netherlands,NLD,33.69,17.231,511.5,52978,8.5,9.92,1.68,2.9,19.31,41,93.2,120.5,0.2,2.5,5.3,9.9,8.8,19.2,81.6,75.4,3.9,4326,6713,3
New Caledonia,NCL,18.28,0.284,15.5,,29.3,16.01,,,,,82,,,11.6,23.4,14.5,5.5,10.1,77.1,65.9,13.6,,,
New Zealand,NZL,263.31,4.886,18.6,41966,13.5,7.69,1.4,3.03,22.48,9,90.8,136,0.1,2.5,8.1,12.4,7,15.6,81.7,76.4,4.5,4560,9026,3
Nicaragua,NIC,120.34,6.466,53.7,2029,41.5,0.79,0.91,2.17,20.04,12,27.9,131.6,0.2,16.2,11.5,19.1,4.8,5.7,75.7,53.9,4.5,596,568,1
Niger,NER,1266.7,22.443,17.7,412,83.6,0.11,0.88,9.49,5.69,10,10.2,40.9,0.3,14.4,2.4,47.8,9.5,2.6,60.4,68.9,0.3,150,51,1
Nigeria,NGA,910.77,195.875,215.1,2028,49.7,0.55,0.46,4.05,5.01,215,27.7,75.9,2.8,11.5,2.4,38.4,12.2,2.7,53.9,50.5,6,764,145,1
North Macedonia,MKD,25.22,2.083,82.6,6084,42,3.61,1.11,3.06,13.05,16,76.3,96.4,0.1,4.1,10.1,11.2,9.9,13.7,75.9,51.8,21.6,1262,3497,2
Northern Mariana Islands,MNP,0.46,0.057,123.7,,8.4,,,,,,,,,,,,,,,,,,,
Norway,NOR,365.1230078,5.314,14.6,81807,17.8,9.27,1.78,3.41,17.59,23,96.5,107.9,0.1,2.5,5.3,10.7,7.7,17,82.5,75.2,3.9,5596,23000,3
Oman,OMN,309.5,4.829,15.6,16419,15.5,15.19,0.45,19,7.57,47,80.2,149.8,,5.4,12.6,17.9,2.5,2.4,77.3,32.4,3.1,6041,6446,3
Pakistan,PAK,770.88,212.215,275.3,1473,63.3,0.85,0.79,18.51,3.86,936,15.5,73.4,0.1,20.5,8.4,27.7,7.2,4.5,66.6,25.2,3,460,448,1
Palau,PLW,0.46,0.018,38.9,17318,20.1,14.77,,,18.71,,,,,,15.9,12.4,10.3,,,,,,,
Panama,PAN,74.34,4.177,56.2,15575,32.3,2.26,0.74,0,21.44,26,57.9,126.7,1,9.2,8.3,19.2,5,8.1,78.2,57.4,3.9,1080,2064,1
Papua New Guinea,PNG,452.86,8.606,19,2723,86.8,0.8,,1.35,7.21,4,11.2,48.7,0.9,,17.7,27.3,7.1,3.9,65.7,47.9,2.4,,,
Paraguay,PRY,397.3,6.956,17.5,5871,38.4,0.86,1.04,4.82,16.18,27,61.1,109.6,0.5,11.2,8.3,20.7,5.8,6.6,73.2,60.5,4.7,783,1552,1
Peru,PER,1280,31.989,25,6947,22.1,2.05,0.99,5.57,15.71,158,48.7,121,0.3,8.8,6,18.9,5.7,7.3,75.2,73.3,2.8,790,1346,1
